/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 2.467039, Loss 1.948104, forward nfe 80, backward nfe 0, Train: 0.3714, Val: 0.3287, Test: 0.3371, Best time: 0.0967
Epoch: 002/100, Runtime 2.490446, Loss 1.948970, forward nfe 372, backward nfe 0, Train: 0.3714, Val: 0.3287, Test: 0.3371, Best time: 35.0000
Epoch: 003/100, Runtime 2.293042, Loss 1.889324, forward nfe 664, backward nfe 0, Train: 0.4357, Val: 0.4044, Test: 0.4122, Best time: 1.0011
Epoch: 004/100, Runtime 2.301090, Loss 1.762018, forward nfe 944, backward nfe 0, Train: 0.5857, Val: 0.5728, Test: 0.5645, Best time: 7.6562
Epoch: 005/100, Runtime 2.265548, Loss 1.549255, forward nfe 1224, backward nfe 0, Train: 0.7857, Val: 0.7743, Test: 0.7563, Best time: 13.6321
Epoch: 006/100, Runtime 2.222989, Loss 1.325300, forward nfe 1498, backward nfe 0, Train: 0.8143, Val: 0.8213, Test: 0.8112, Best time: 46.3814
Epoch: 007/100, Runtime 2.109200, Loss 1.067319, forward nfe 1760, backward nfe 0, Train: 0.8786, Val: 0.8279, Test: 0.8183, Best time: 58.2611
Epoch: 008/100, Runtime 2.144774, Loss 0.869108, forward nfe 2016, backward nfe 0, Train: 0.8786, Val: 0.8279, Test: 0.8183, Best time: 35.0000
Epoch: 009/100, Runtime 2.018854, Loss 0.664053, forward nfe 2272, backward nfe 0, Train: 0.8786, Val: 0.8279, Test: 0.8183, Best time: 35.0000
Epoch: 010/100, Runtime 2.111390, Loss 0.521583, forward nfe 2522, backward nfe 0, Train: 0.8786, Val: 0.8279, Test: 0.8183, Best time: 35.0000
Epoch: 011/100, Runtime 2.000814, Loss 0.461800, forward nfe 2772, backward nfe 0, Train: 0.9143, Val: 0.8478, Test: 0.8305, Best time: 84.0560
Epoch: 012/100, Runtime 1.931252, Loss 0.360373, forward nfe 3004, backward nfe 0, Train: 0.9214, Val: 0.8515, Test: 0.8386, Best time: 49.5472
Epoch: 013/100, Runtime 1.973637, Loss 0.370085, forward nfe 3242, backward nfe 0, Train: 0.9571, Val: 0.8544, Test: 0.8487, Best time: 44.9396
Epoch: 014/100, Runtime 1.912144, Loss 0.319488, forward nfe 3474, backward nfe 0, Train: 0.9571, Val: 0.8544, Test: 0.8487, Best time: 35.0000
