****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 4.541290, Loss 1.948133, forward nfe 104, backward nfe 0, Train: 0.4143, Val: 0.4691, Test: 0.4294, Best time: 117.0807
Epoch: 002/100, Runtime 4.056038, Loss 1.834952, forward nfe 498, backward nfe 0, Train: 0.4143, Val: 0.4691, Test: 0.4294, Best time: 50.0000
Epoch: 003/100, Runtime 4.250402, Loss 1.636338, forward nfe 886, backward nfe 0, Train: 0.8143, Val: 0.7632, Test: 0.7563, Best time: 17.7919
Epoch: 004/100, Runtime 4.247945, Loss 1.333225, forward nfe 1268, backward nfe 0, Train: 0.8571, Val: 0.7993, Test: 0.8010, Best time: 18.1058
Epoch: 005/100, Runtime 4.162186, Loss 1.089071, forward nfe 1626, backward nfe 0, Train: 0.8571, Val: 0.7993, Test: 0.8010, Best time: 50.0000
Epoch: 006/100, Runtime 3.761828, Loss 0.907020, forward nfe 1984, backward nfe 0, Train: 0.8571, Val: 0.7993, Test: 0.8010, Best time: 50.0000
Epoch: 007/100, Runtime 3.231179, Loss 0.724286, forward nfe 2336, backward nfe 0, Train: 0.9143, Val: 0.8331, Test: 0.8294, Best time: 26.8039
Epoch: 008/100, Runtime 2.560882, Loss 0.606189, forward nfe 2682, backward nfe 0, Train: 0.9071, Val: 0.8404, Test: 0.8305, Best time: 34.5509
Epoch: 009/100, Runtime 2.544646, Loss 0.535931, forward nfe 3016, backward nfe 0, Train: 0.9071, Val: 0.8404, Test: 0.8305, Best time: 50.0000
Epoch: 010/100, Runtime 2.484551, Loss 0.466171, forward nfe 3338, backward nfe 0, Train: 0.9071, Val: 0.8404, Test: 0.8305, Best time: 50.0000
Epoch: 011/100, Runtime 2.547205, Loss 0.404469, forward nfe 3654, backward nfe 0, Train: 0.9071, Val: 0.8404, Test: 0.8305, Best time: 50.0000
Epoch: 012/100, Runtime 2.221324, Loss 0.410671, forward nfe 3946, backward nfe 0, Train: 0.9357, Val: 0.8449, Test: 0.8386, Best time: 67.4778
Epoch: 013/100, Runtime 2.310648, Loss 0.361507, forward nfe 4244, backward nfe 0, Train: 0.9357, Val: 0.8493, Test: 0.8437, Best time: 69.4098
Epoch: 014/100, Runtime 2.205520, Loss 0.340676, forward nfe 4536, backward nfe 0, Train: 0.9357, Val: 0.8493, Test: 0.8437, Best time: 50.0000
