/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 4.764619, Loss 1.947399, forward nfe 116, backward nfe 0, Train: 0.3643, Val: 0.3904, Test: 0.3929, Best time: 1.0392
Epoch: 002/100, Runtime 4.635263, Loss 1.982753, forward nfe 576, backward nfe 0, Train: 0.3643, Val: 0.3904, Test: 0.3929, Best time: 60.0000
Epoch: 003/100, Runtime 4.520453, Loss 1.944336, forward nfe 1024, backward nfe 0, Train: 0.3643, Val: 0.3904, Test: 0.3929, Best time: 60.0000
Epoch: 004/100, Runtime 3.304351, Loss 1.920210, forward nfe 1472, backward nfe 0, Train: 0.4071, Val: 0.4353, Test: 0.4335, Best time: 5.2498
Epoch: 005/100, Runtime 3.261554, Loss 1.859179, forward nfe 1902, backward nfe 0, Train: 0.5071, Val: 0.5110, Test: 0.5330, Best time: 2.2826
Epoch: 006/100, Runtime 3.435357, Loss 1.758000, forward nfe 2320, backward nfe 0, Train: 0.6357, Val: 0.6463, Test: 0.6670, Best time: 7.7654
Epoch: 007/100, Runtime 3.332156, Loss 1.601190, forward nfe 2720, backward nfe 0, Train: 0.7643, Val: 0.7537, Test: 0.7533, Best time: 14.2237
Epoch: 008/100, Runtime 3.255150, Loss 1.438560, forward nfe 3126, backward nfe 0, Train: 0.8143, Val: 0.7897, Test: 0.7838, Best time: 32.5722
Epoch: 009/100, Runtime 3.143445, Loss 1.248556, forward nfe 3520, backward nfe 0, Train: 0.8143, Val: 0.7897, Test: 0.7838, Best time: 60.0000
Epoch: 010/100, Runtime 2.900823, Loss 1.065480, forward nfe 3914, backward nfe 0, Train: 0.8143, Val: 0.7897, Test: 0.7838, Best time: 60.0000
Epoch: 011/100, Runtime 2.872971, Loss 0.895868, forward nfe 4302, backward nfe 0, Train: 0.8286, Val: 0.8088, Test: 0.8071, Best time: 94.9417
Epoch: 012/100, Runtime 2.826694, Loss 0.756390, forward nfe 4684, backward nfe 0, Train: 0.8286, Val: 0.8257, Test: 0.8244, Best time: 97.9863
Epoch: 013/100, Runtime 2.762525, Loss 0.698406, forward nfe 5048, backward nfe 0, Train: 0.8286, Val: 0.8257, Test: 0.8244, Best time: 60.0000
Epoch: 014/100, Runtime 2.650233, Loss 0.623608, forward nfe 5400, backward nfe 0, Train: 0.8214, Val: 0.8279, Test: 0.8284, Best time: 167.2000
