****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 2.222879, Loss 1.945396, forward nfe 74, backward nfe 0, Train: 0.1714, Val: 0.3162, Test: 0.2924, Best time: 0.0924
Epoch: 002/100, Runtime 2.196167, Loss 1.848355, forward nfe 348, backward nfe 0, Train: 0.6929, Val: 0.6029, Test: 0.5959, Best time: 2.2516
Epoch: 003/100, Runtime 2.151141, Loss 1.649297, forward nfe 616, backward nfe 0, Train: 0.8643, Val: 0.7809, Test: 0.8030, Best time: 9.8521
Epoch: 004/100, Runtime 2.128625, Loss 1.387436, forward nfe 884, backward nfe 0, Train: 0.8714, Val: 0.8213, Test: 0.8294, Best time: 13.1555
Epoch: 005/100, Runtime 2.006858, Loss 1.121962, forward nfe 1140, backward nfe 0, Train: 0.8857, Val: 0.8353, Test: 0.8365, Best time: 23.2307
Epoch: 006/100, Runtime 1.966226, Loss 0.865088, forward nfe 1396, backward nfe 0, Train: 0.8857, Val: 0.8353, Test: 0.8365, Best time: 32.0000
Epoch: 007/100, Runtime 1.881626, Loss 0.647804, forward nfe 1646, backward nfe 0, Train: 0.8857, Val: 0.8353, Test: 0.8365, Best time: 32.0000
Epoch: 008/100, Runtime 2.063650, Loss 0.522770, forward nfe 1890, backward nfe 0, Train: 0.8857, Val: 0.8353, Test: 0.8365, Best time: 32.0000
Epoch: 009/100, Runtime 1.884092, Loss 0.436689, forward nfe 2122, backward nfe 0, Train: 0.8857, Val: 0.8353, Test: 0.8365, Best time: 32.0000
Epoch: 010/100, Runtime 1.878892, Loss 0.360819, forward nfe 2354, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 011/100, Runtime 1.859480, Loss 0.315780, forward nfe 2586, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 012/100, Runtime 1.807905, Loss 0.284953, forward nfe 2812, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 013/100, Runtime 1.739722, Loss 0.250726, forward nfe 3032, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 014/100, Runtime 1.699836, Loss 0.275256, forward nfe 3234, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 015/100, Runtime 1.775655, Loss 0.216082, forward nfe 3436, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 016/100, Runtime 1.665820, Loss 0.193450, forward nfe 3644, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 017/100, Runtime 1.727756, Loss 0.201779, forward nfe 3852, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 018/100, Runtime 1.702697, Loss 0.229981, forward nfe 4060, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 019/100, Runtime 1.551547, Loss 0.201557, forward nfe 4256, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 020/100, Runtime 1.536802, Loss 0.224483, forward nfe 4440, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 021/100, Runtime 1.565398, Loss 0.146352, forward nfe 4624, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 022/100, Runtime 1.569375, Loss 0.178925, forward nfe 4808, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 023/100, Runtime 1.549524, Loss 0.164676, forward nfe 4998, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 024/100, Runtime 1.561466, Loss 0.192205, forward nfe 5188, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
Epoch: 025/100, Runtime 1.609043, Loss 0.192195, forward nfe 5378, backward nfe 0, Train: 0.9000, Val: 0.8449, Test: 0.8365, Best time: 32.0000
