/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 1.347186, Loss 1.949766, forward nfe 50, backward nfe 0, Train: 0.2857, Val: 0.1757, Test: 0.2041, Best time: 0.0950
Epoch: 002/100, Runtime 1.309527, Loss 1.880562, forward nfe 210, backward nfe 0, Train: 0.7214, Val: 0.4860, Test: 0.4772, Best time: 2.2657
Epoch: 003/100, Runtime 1.322900, Loss 1.736284, forward nfe 370, backward nfe 0, Train: 0.8357, Val: 0.6684, Test: 0.6619, Best time: 9.6850
Epoch: 004/100, Runtime 1.317068, Loss 1.544365, forward nfe 530, backward nfe 0, Train: 0.8929, Val: 0.7868, Test: 0.7787, Best time: 12.6888
Epoch: 005/100, Runtime 1.364896, Loss 1.288825, forward nfe 690, backward nfe 0, Train: 0.9071, Val: 0.8176, Test: 0.8112, Best time: 12.7273
Epoch: 006/100, Runtime 1.330646, Loss 1.019598, forward nfe 850, backward nfe 0, Train: 0.9214, Val: 0.8213, Test: 0.8284, Best time: 12.8554
Epoch: 007/100, Runtime 1.283178, Loss 0.764004, forward nfe 1010, backward nfe 0, Train: 0.9357, Val: 0.8265, Test: 0.8355, Best time: 10.0323
Epoch: 008/100, Runtime 1.283333, Loss 0.559171, forward nfe 1164, backward nfe 0, Train: 0.9357, Val: 0.8265, Test: 0.8355, Best time: 15.0000
Epoch: 009/100, Runtime 1.224509, Loss 0.400832, forward nfe 1318, backward nfe 0, Train: 0.9357, Val: 0.8265, Test: 0.8355, Best time: 15.0000
Epoch: 010/100, Runtime 1.305589, Loss 0.285425, forward nfe 1472, backward nfe 0, Train: 0.9357, Val: 0.8265, Test: 0.8355, Best time: 15.0000
Epoch: 011/100, Runtime 1.176745, Loss 0.218701, forward nfe 1626, backward nfe 0, Train: 0.9357, Val: 0.8360, Test: 0.8345, Best time: 15.0000
Epoch: 012/100, Runtime 1.177120, Loss 0.175476, forward nfe 1768, backward nfe 0, Train: 0.9357, Val: 0.8360, Test: 0.8345, Best time: 15.0000
Epoch: 013/100, Runtime 1.145811, Loss 0.146515, forward nfe 1904, backward nfe 0, Train: 0.9357, Val: 0.8360, Test: 0.8345, Best time: 15.0000
Epoch: 014/100, Runtime 1.123731, Loss 0.124960, forward nfe 2040, backward nfe 0, Train: 0.9357, Val: 0.8360, Test: 0.8345, Best time: 15.0000
Epoch: 015/100, Runtime 1.184655, Loss 0.167833, forward nfe 2170, backward nfe 0, Train: 0.9357, Val: 0.8360, Test: 0.8345, Best time: 15.0000
Epoch: 016/100, Runtime 1.123772, Loss 0.117223, forward nfe 2306, backward nfe 0, Train: 0.9357, Val: 0.8360, Test: 0.8345, Best time: 15.0000
Epoch: 017/100, Runtime 1.197165, Loss 0.143036, forward nfe 2442, backward nfe 0, Train: 0.9786, Val: 0.8368, Test: 0.8183, Best time: 50.8543
Epoch: 018/100, Runtime 1.045878, Loss 0.130192, forward nfe 2578, backward nfe 0, Train: 1.0000, Val: 0.8404, Test: 0.8173, Best time: 15.0000
Epoch: 019/100, Runtime 1.031097, Loss 0.119536, forward nfe 2696, backward nfe 0, Train: 1.0000, Val: 0.8404, Test: 0.8173, Best time: 15.0000
Epoch: 020/100, Runtime 1.066203, Loss 0.128028, forward nfe 2814, backward nfe 0, Train: 1.0000, Val: 0.8404, Test: 0.8173, Best time: 15.0000
Epoch: 021/100, Runtime 0.994145, Loss 0.156907, forward nfe 2932, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 022/100, Runtime 1.050726, Loss 0.141262, forward nfe 3050, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 023/100, Runtime 1.074177, Loss 0.118442, forward nfe 3174, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 024/100, Runtime 0.950914, Loss 0.163628, forward nfe 3298, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 025/100, Runtime 0.963822, Loss 0.088467, forward nfe 3410, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 026/100, Runtime 0.968637, Loss 0.113777, forward nfe 3522, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 027/100, Runtime 1.001221, Loss 0.079102, forward nfe 3634, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 028/100, Runtime 0.920267, Loss 0.092853, forward nfe 3740, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 029/100, Runtime 0.942664, Loss 0.149488, forward nfe 3846, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 030/100, Runtime 0.911289, Loss 0.115836, forward nfe 3952, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 031/100, Runtime 1.023026, Loss 0.072483, forward nfe 4058, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 032/100, Runtime 1.018548, Loss 0.096218, forward nfe 4170, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 033/100, Runtime 1.007226, Loss 0.125552, forward nfe 4282, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 034/100, Runtime 0.999099, Loss 0.077629, forward nfe 4394, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 035/100, Runtime 1.000662, Loss 0.055972, forward nfe 4506, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 036/100, Runtime 0.883039, Loss 0.093496, forward nfe 4618, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
Epoch: 037/100, Runtime 0.884883, Loss 0.087402, forward nfe 4718, backward nfe 0, Train: 0.9929, Val: 0.8426, Test: 0.8274, Best time: 15.0000
