****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 1.624144, Loss 1.947824, forward nfe 50, backward nfe 0, Train: 0.3071, Val: 0.4581, Test: 0.4406, Best time: 7.4730
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 002/100, Runtime 1.769042, Loss 1.801999, forward nfe 210, backward nfe 0, Train: 0.7357, Val: 0.7221, Test: 0.6985, Best time: 9.7699
Epoch: 003/100, Runtime 1.740977, Loss 1.568602, forward nfe 370, backward nfe 0, Train: 0.8643, Val: 0.7801, Test: 0.7665, Best time: 12.7499
Epoch: 004/100, Runtime 1.787754, Loss 1.280262, forward nfe 530, backward nfe 0, Train: 0.8571, Val: 0.7875, Test: 0.7726, Best time: 43.5542
Epoch: 005/100, Runtime 1.789358, Loss 1.012230, forward nfe 690, backward nfe 0, Train: 0.8857, Val: 0.7949, Test: 0.7787, Best time: 28.6921
Epoch: 006/100, Runtime 1.649527, Loss 0.781743, forward nfe 850, backward nfe 0, Train: 0.9143, Val: 0.8125, Test: 0.7959, Best time: 15.0000
Epoch: 007/100, Runtime 1.654000, Loss 0.577277, forward nfe 998, backward nfe 0, Train: 0.9143, Val: 0.8235, Test: 0.8041, Best time: 15.0000
Epoch: 008/100, Runtime 1.684957, Loss 0.423751, forward nfe 1146, backward nfe 0, Train: 0.9214, Val: 0.8294, Test: 0.8010, Best time: 15.0000
Epoch: 009/100, Runtime 1.691035, Loss 0.342499, forward nfe 1294, backward nfe 0, Train: 0.9357, Val: 0.8346, Test: 0.8162, Best time: 32.8678
Epoch: 010/100, Runtime 1.614744, Loss 0.268918, forward nfe 1442, backward nfe 0, Train: 0.9571, Val: 0.8375, Test: 0.8162, Best time: 34.6394
Epoch: 011/100, Runtime 1.008002, Loss 0.222917, forward nfe 1578, backward nfe 0, Train: 0.9571, Val: 0.8375, Test: 0.8162, Best time: 15.0000
Epoch: 012/100, Runtime 0.495515, Loss 0.205030, forward nfe 1714, backward nfe 0, Train: 0.9571, Val: 0.8412, Test: 0.8254, Best time: 43.6696
Epoch: 013/100, Runtime 0.427745, Loss 0.211721, forward nfe 1856, backward nfe 0, Train: 0.9714, Val: 0.8478, Test: 0.8305, Best time: 15.0000
Epoch: 014/100, Runtime 0.485557, Loss 0.176567, forward nfe 1992, backward nfe 0, Train: 0.9714, Val: 0.8478, Test: 0.8305, Best time: 15.0000
Epoch: 015/100, Runtime 0.449860, Loss 0.152917, forward nfe 2122, backward nfe 0, Train: 0.9786, Val: 0.8507, Test: 0.8274, Best time: 42.5023
Epoch: 016/100, Runtime 0.517820, Loss 0.206643, forward nfe 2252, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 017/100, Runtime 0.386139, Loss 0.155322, forward nfe 2376, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 018/100, Runtime 0.431183, Loss 0.171115, forward nfe 2494, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 019/100, Runtime 0.510897, Loss 0.227775, forward nfe 2618, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 020/100, Runtime 0.488574, Loss 0.186361, forward nfe 2742, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 021/100, Runtime 0.524814, Loss 0.183676, forward nfe 2866, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 022/100, Runtime 0.436202, Loss 0.134980, forward nfe 2984, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 023/100, Runtime 0.469802, Loss 0.179510, forward nfe 3096, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 024/100, Runtime 0.503284, Loss 0.142565, forward nfe 3208, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 025/100, Runtime 0.446625, Loss 0.107507, forward nfe 3314, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 026/100, Runtime 0.426469, Loss 0.142154, forward nfe 3420, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 027/100, Runtime 0.453350, Loss 0.129783, forward nfe 3532, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 028/100, Runtime 0.510686, Loss 0.108556, forward nfe 3644, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 029/100, Runtime 0.451832, Loss 0.127176, forward nfe 3756, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 030/100, Runtime 0.404708, Loss 0.093768, forward nfe 3868, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 031/100, Runtime 0.414160, Loss 0.143148, forward nfe 3968, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 032/100, Runtime 0.412313, Loss 0.104816, forward nfe 4068, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 033/100, Runtime 0.416009, Loss 0.103028, forward nfe 4168, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 034/100, Runtime 0.411411, Loss 0.084594, forward nfe 4268, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 035/100, Runtime 0.412220, Loss 0.147856, forward nfe 4368, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 036/100, Runtime 0.397089, Loss 0.099806, forward nfe 4468, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 037/100, Runtime 0.395257, Loss 0.116523, forward nfe 4568, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
Epoch: 038/100, Runtime 0.419602, Loss 0.098770, forward nfe 4668, backward nfe 0, Train: 0.9643, Val: 0.8537, Test: 0.8294, Best time: 15.0000
