/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 1.583575, Loss 1.946632, forward nfe 56, backward nfe 0, Train: 0.6071, Val: 0.6449, Test: 0.6711, Best time: 7.7855
Epoch: 002/100, Runtime 1.523957, Loss 1.805943, forward nfe 246, backward nfe 0, Train: 0.8071, Val: 0.7390, Test: 0.7482, Best time: 13.3022
Epoch: 003/100, Runtime 1.951705, Loss 1.555821, forward nfe 436, backward nfe 0, Train: 0.8500, Val: 0.7610, Test: 0.7716, Best time: 10.0194
Epoch: 004/100, Runtime 1.966980, Loss 1.254794, forward nfe 626, backward nfe 0, Train: 0.8857, Val: 0.7868, Test: 0.7777, Best time: 13.1727
Epoch: 005/100, Runtime 1.902002, Loss 0.974999, forward nfe 810, backward nfe 0, Train: 0.8571, Val: 0.8162, Test: 0.7898, Best time: 50.7392
Epoch: 006/100, Runtime 1.852927, Loss 0.747016, forward nfe 988, backward nfe 0, Train: 0.8857, Val: 0.8250, Test: 0.7970, Best time: 23.3428
Epoch: 007/100, Runtime 2.030921, Loss 0.567727, forward nfe 1166, backward nfe 0, Train: 0.8929, Val: 0.8382, Test: 0.8223, Best time: 24.1170
Epoch: 008/100, Runtime 1.961411, Loss 0.450820, forward nfe 1344, backward nfe 0, Train: 0.9071, Val: 0.8456, Test: 0.8274, Best time: 25.1475
Epoch: 009/100, Runtime 1.944690, Loss 0.368440, forward nfe 1516, backward nfe 0, Train: 0.9071, Val: 0.8456, Test: 0.8274, Best time: 20.0000
Epoch: 010/100, Runtime 1.871710, Loss 0.356302, forward nfe 1688, backward nfe 0, Train: 0.9071, Val: 0.8456, Test: 0.8274, Best time: 20.0000
Epoch: 011/100, Runtime 1.796753, Loss 0.273976, forward nfe 1848, backward nfe 0, Train: 0.9071, Val: 0.8456, Test: 0.8274, Best time: 20.0000
Epoch: 012/100, Runtime 1.943506, Loss 0.273981, forward nfe 2008, backward nfe 0, Train: 0.9286, Val: 0.8537, Test: 0.8467, Best time: 58.7196
Epoch: 013/100, Runtime 1.833876, Loss 0.235759, forward nfe 2174, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 33.2435
Epoch: 014/100, Runtime 1.733287, Loss 0.238857, forward nfe 2334, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 015/100, Runtime 1.612594, Loss 0.206199, forward nfe 2488, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 016/100, Runtime 1.350869, Loss 0.234803, forward nfe 2636, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 017/100, Runtime 1.495398, Loss 0.311322, forward nfe 2772, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 018/100, Runtime 1.618914, Loss 0.215048, forward nfe 2914, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 019/100, Runtime 1.077345, Loss 0.277455, forward nfe 3056, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 020/100, Runtime 1.130280, Loss 0.247681, forward nfe 3204, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 021/100, Runtime 1.090673, Loss 0.280660, forward nfe 3346, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 022/100, Runtime 1.021215, Loss 0.195589, forward nfe 3482, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 023/100, Runtime 1.034741, Loss 0.225801, forward nfe 3606, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 024/100, Runtime 0.996529, Loss 0.209415, forward nfe 3730, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 025/100, Runtime 1.050105, Loss 0.207918, forward nfe 3854, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 026/100, Runtime 1.123818, Loss 0.136291, forward nfe 3984, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 027/100, Runtime 1.218093, Loss 0.163156, forward nfe 4114, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 028/100, Runtime 0.992691, Loss 0.148272, forward nfe 4244, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 029/100, Runtime 1.106740, Loss 0.155610, forward nfe 4374, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 030/100, Runtime 1.052276, Loss 0.145899, forward nfe 4498, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 031/100, Runtime 1.084525, Loss 0.152091, forward nfe 4622, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 032/100, Runtime 1.118533, Loss 0.128341, forward nfe 4746, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 033/100, Runtime 0.998442, Loss 0.149828, forward nfe 4870, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 034/100, Runtime 1.015139, Loss 0.134967, forward nfe 4988, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
Epoch: 035/100, Runtime 1.027752, Loss 0.112905, forward nfe 5106, backward nfe 0, Train: 0.9500, Val: 0.8574, Test: 0.8569, Best time: 20.0000
