****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 2.689726, Loss 1.948548, forward nfe 92, backward nfe 0, Train: 0.1000, Val: 0.2551, Test: 0.2386, Best time: 42.2642
Epoch: 002/100, Runtime 2.532568, Loss 1.953662, forward nfe 426, backward nfe 0, Train: 0.1000, Val: 0.2551, Test: 0.2386, Best time: 40.0000
Epoch: 003/100, Runtime 2.575282, Loss 1.908931, forward nfe 736, backward nfe 0, Train: 0.1000, Val: 0.2551, Test: 0.2386, Best time: 40.0000
Epoch: 004/100, Runtime 2.490309, Loss 1.844920, forward nfe 1058, backward nfe 0, Train: 0.1000, Val: 0.2551, Test: 0.2386, Best time: 40.0000
Epoch: 005/100, Runtime 2.474295, Loss 1.704392, forward nfe 1368, backward nfe 0, Train: 0.7714, Val: 0.6022, Test: 0.6122, Best time: 5.5391
Epoch: 006/100, Runtime 2.400563, Loss 1.513325, forward nfe 1666, backward nfe 0, Train: 0.8500, Val: 0.7743, Test: 0.7766, Best time: 10.4580
Epoch: 007/100, Runtime 2.291730, Loss 1.334174, forward nfe 1958, backward nfe 0, Train: 0.8214, Val: 0.7941, Test: 0.8010, Best time: 14.1415
Epoch: 008/100, Runtime 2.256024, Loss 1.134240, forward nfe 2244, backward nfe 0, Train: 0.8714, Val: 0.8088, Test: 0.8264, Best time: 19.0596
Epoch: 009/100, Runtime 2.258642, Loss 0.936969, forward nfe 2524, backward nfe 0, Train: 0.8714, Val: 0.8088, Test: 0.8264, Best time: 40.0000
Epoch: 010/100, Runtime 2.235640, Loss 0.769740, forward nfe 2804, backward nfe 0, Train: 0.8714, Val: 0.8088, Test: 0.8264, Best time: 40.0000
Epoch: 011/100, Runtime 2.266685, Loss 0.627583, forward nfe 3078, backward nfe 0, Train: 0.8714, Val: 0.8088, Test: 0.8264, Best time: 40.0000
Epoch: 012/100, Runtime 2.132005, Loss 0.584438, forward nfe 3346, backward nfe 0, Train: 0.8714, Val: 0.8088, Test: 0.8264, Best time: 40.0000
Epoch: 013/100, Runtime 2.096001, Loss 0.535310, forward nfe 3614, backward nfe 0, Train: 0.9071, Val: 0.8140, Test: 0.8284, Best time: 17.5370
Epoch: 014/100, Runtime 1.994077, Loss 0.455807, forward nfe 3882, backward nfe 0, Train: 0.8929, Val: 0.8154, Test: 0.8305, Best time: 13.8595
