****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 4.321153, Loss 1.949363, forward nfe 146, backward nfe 0, Train: 0.1357, Val: 0.1669, Test: 0.1523, Best time: 50.2546
Epoch: 002/100, Runtime 4.260792, Loss 1.989628, forward nfe 708, backward nfe 0, Train: 0.1357, Val: 0.1669, Test: 0.1523, Best time: 75.0000
Epoch: 003/100, Runtime 4.023640, Loss 1.950938, forward nfe 1258, backward nfe 0, Train: 0.1357, Val: 0.1669, Test: 0.1523, Best time: 75.0000
Epoch: 004/100, Runtime 4.102349, Loss 1.905747, forward nfe 1808, backward nfe 0, Train: 0.2071, Val: 0.1904, Test: 0.2284, Best time: 0.0862
Epoch: 005/100, Runtime 3.998145, Loss 1.840446, forward nfe 2334, backward nfe 0, Train: 0.3929, Val: 0.4243, Test: 0.4315, Best time: 3.7075
Epoch: 006/100, Runtime 3.761589, Loss 1.725579, forward nfe 2848, backward nfe 0, Train: 0.6857, Val: 0.6618, Test: 0.6223, Best time: 10.3188
Epoch: 007/100, Runtime 3.727082, Loss 1.602345, forward nfe 3350, backward nfe 0, Train: 0.7071, Val: 0.7000, Test: 0.6772, Best time: 10.8221
Epoch: 008/100, Runtime 3.658673, Loss 1.453801, forward nfe 3846, backward nfe 0, Train: 0.7714, Val: 0.7669, Test: 0.7523, Best time: 11.3074
Epoch: 009/100, Runtime 4.831831, Loss 1.253056, forward nfe 4324, backward nfe 0, Train: 0.8214, Val: 0.7985, Test: 0.7909, Best time: 15.5587
Epoch: 010/100, Runtime 4.692570, Loss 1.086886, forward nfe 4796, backward nfe 0, Train: 0.8357, Val: 0.8066, Test: 0.8081, Best time: 16.1619
Epoch: 011/100, Runtime 4.548612, Loss 0.907867, forward nfe 5256, backward nfe 0, Train: 0.8071, Val: 0.8088, Test: 0.7959, Best time: 6.7579
Epoch: 012/100, Runtime 4.802776, Loss 0.776577, forward nfe 5704, backward nfe 0, Train: 0.8071, Val: 0.8088, Test: 0.7959, Best time: 75.0000
Epoch: 013/100, Runtime 4.878974, Loss 0.711384, forward nfe 6152, backward nfe 0, Train: 0.8071, Val: 0.8088, Test: 0.7959, Best time: 75.0000
Epoch: 014/100, Runtime 4.615998, Loss 0.621497, forward nfe 6582, backward nfe 0, Train: 0.8071, Val: 0.8088, Test: 0.7959, Best time: 75.0000
Epoch: 015/100, Runtime 3.216966, Loss 0.586634, forward nfe 6994, backward nfe 0, Train: 0.8071, Val: 0.8088, Test: 0.7959, Best time: 75.0000
Epoch: 016/100, Runtime 3.072104, Loss 0.510372, forward nfe 7394, backward nfe 0, Train: 0.8071, Val: 0.8088, Test: 0.7959, Best time: 75.0000
Epoch: 017/100, Runtime 3.085327, Loss 0.533569, forward nfe 7800, backward nfe 0, Train: 0.8929, Val: 0.8110, Test: 0.8051, Best time: 39.5182
Epoch: 018/100, Runtime 3.142448, Loss 0.489215, forward nfe 8200, backward nfe 0, Train: 0.8643, Val: 0.8419, Test: 0.8355, Best time: 97.6030
Epoch: 019/100, Runtime 2.983039, Loss 0.436675, forward nfe 8582, backward nfe 0, Train: 0.8643, Val: 0.8419, Test: 0.8355, Best time: 75.0000
Epoch: 020/100, Runtime 2.888773, Loss 0.425027, forward nfe 8946, backward nfe 0, Train: 0.8643, Val: 0.8419, Test: 0.8355, Best time: 75.0000
Epoch: 021/100, Runtime 2.849267, Loss 0.406079, forward nfe 9304, backward nfe 0, Train: 0.8643, Val: 0.8419, Test: 0.8355, Best time: 75.0000
Epoch: 022/100, Runtime 2.882637, Loss 0.415759, forward nfe 9656, backward nfe 0, Train: 0.8643, Val: 0.8419, Test: 0.8355, Best time: 75.0000
Epoch: 023/100, Runtime 3.604934, Loss 0.421703, forward nfe 10014, backward nfe 0, Train: 0.8643, Val: 0.8419, Test: 0.8355, Best time: 75.0000
Epoch: 024/100, Runtime 3.803918, Loss 0.422726, forward nfe 10366, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 83.7476
Epoch: 025/100, Runtime 3.760276, Loss 0.389283, forward nfe 10706, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 026/100, Runtime 3.764911, Loss 0.366557, forward nfe 11028, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 027/100, Runtime 3.776656, Loss 0.386145, forward nfe 11356, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 028/100, Runtime 3.680905, Loss 0.319797, forward nfe 11690, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 029/100, Runtime 3.714156, Loss 0.360201, forward nfe 12018, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 030/100, Runtime 3.705256, Loss 0.372575, forward nfe 12340, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 031/100, Runtime 3.231824, Loss 0.297315, forward nfe 12662, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 032/100, Runtime 2.275543, Loss 0.327241, forward nfe 12966, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 033/100, Runtime 2.428303, Loss 0.316987, forward nfe 13270, backward nfe 0, Train: 0.8929, Val: 0.8441, Test: 0.8386, Best time: 75.0000
Epoch: 034/100, Runtime 2.405767, Loss 0.325995, forward nfe 13580, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 104.9668
Epoch: 035/100, Runtime 2.459402, Loss 0.248241, forward nfe 13890, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 036/100, Runtime 2.532122, Loss 0.248457, forward nfe 14200, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 037/100, Runtime 2.458548, Loss 0.235520, forward nfe 14504, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 038/100, Runtime 2.423905, Loss 0.256325, forward nfe 14808, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 039/100, Runtime 2.452393, Loss 0.238168, forward nfe 15112, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 040/100, Runtime 2.394553, Loss 0.244581, forward nfe 15404, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 041/100, Runtime 2.373551, Loss 0.248796, forward nfe 15696, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 042/100, Runtime 2.227033, Loss 0.196479, forward nfe 15988, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 043/100, Runtime 2.200006, Loss 0.212028, forward nfe 16280, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 044/100, Runtime 2.217929, Loss 0.242354, forward nfe 16566, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 045/100, Runtime 2.243862, Loss 0.226465, forward nfe 16852, backward nfe 0, Train: 0.9357, Val: 0.8537, Test: 0.8518, Best time: 75.0000
Epoch: 046/100, Runtime 2.305041, Loss 0.242108, forward nfe 17138, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 95.4176
Epoch: 047/100, Runtime 2.395283, Loss 0.249678, forward nfe 17424, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 048/100, Runtime 2.299890, Loss 0.210672, forward nfe 17710, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 049/100, Runtime 2.384969, Loss 0.253416, forward nfe 17996, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 050/100, Runtime 2.310408, Loss 0.200478, forward nfe 18282, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 051/100, Runtime 2.393424, Loss 0.183574, forward nfe 18568, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 052/100, Runtime 2.274417, Loss 0.186049, forward nfe 18854, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 053/100, Runtime 2.279989, Loss 0.211924, forward nfe 19140, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 054/100, Runtime 2.388302, Loss 0.165421, forward nfe 19426, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 055/100, Runtime 2.287158, Loss 0.136413, forward nfe 19712, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 056/100, Runtime 2.272069, Loss 0.153281, forward nfe 19998, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 057/100, Runtime 2.377605, Loss 0.145384, forward nfe 20284, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 058/100, Runtime 2.319878, Loss 0.154889, forward nfe 20570, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 059/100, Runtime 2.394002, Loss 0.128980, forward nfe 20856, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 060/100, Runtime 2.393329, Loss 0.112356, forward nfe 21148, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 061/100, Runtime 2.394354, Loss 0.095553, forward nfe 21440, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 062/100, Runtime 2.336530, Loss 0.091132, forward nfe 21732, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 063/100, Runtime 2.375639, Loss 0.135880, forward nfe 22024, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 064/100, Runtime 2.275270, Loss 0.082242, forward nfe 22316, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 065/100, Runtime 2.242018, Loss 0.156119, forward nfe 22590, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 066/100, Runtime 2.285786, Loss 0.103009, forward nfe 22864, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 067/100, Runtime 2.296921, Loss 0.112220, forward nfe 23138, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 068/100, Runtime 2.259051, Loss 0.108929, forward nfe 23412, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 069/100, Runtime 2.287446, Loss 0.118182, forward nfe 23692, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 070/100, Runtime 2.227131, Loss 0.169849, forward nfe 23960, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 071/100, Runtime 2.189837, Loss 0.105046, forward nfe 24228, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
Epoch: 072/100, Runtime 2.154769, Loss 0.062573, forward nfe 24496, backward nfe 0, Train: 0.9643, Val: 0.8581, Test: 0.8538, Best time: 75.0000
