/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 5.403242, Loss 1.949040, forward nfe 176, backward nfe 0, Train: 0.2929, Val: 0.2066, Test: 0.2213, Best time: 5.5118
Epoch: 002/100, Runtime 5.513671, Loss 2.021128, forward nfe 864, backward nfe 0, Train: 0.2929, Val: 0.2066, Test: 0.2213, Best time: 95.0000
Epoch: 003/100, Runtime 5.405639, Loss 1.968918, forward nfe 1540, backward nfe 0, Train: 0.2929, Val: 0.2066, Test: 0.2213, Best time: 95.0000
Epoch: 004/100, Runtime 5.373459, Loss 1.928263, forward nfe 2222, backward nfe 0, Train: 0.2714, Val: 0.2507, Test: 0.2396, Best time: 8.9353
Epoch: 005/100, Runtime 5.135653, Loss 1.903278, forward nfe 2892, backward nfe 0, Train: 0.3214, Val: 0.3324, Test: 0.3330, Best time: 5.0551
Epoch: 006/100, Runtime 4.986952, Loss 1.858812, forward nfe 3544, backward nfe 0, Train: 0.4500, Val: 0.4654, Test: 0.4548, Best time: 3.5836
Epoch: 007/100, Runtime 4.935071, Loss 1.799402, forward nfe 4184, backward nfe 0, Train: 0.6643, Val: 0.5324, Test: 0.5381, Best time: 39.9103
Epoch: 008/100, Runtime 4.821041, Loss 1.728113, forward nfe 4800, backward nfe 0, Train: 0.6643, Val: 0.5324, Test: 0.5381, Best time: 95.0000
Epoch: 009/100, Runtime 4.784305, Loss 1.635974, forward nfe 5404, backward nfe 0, Train: 0.6214, Val: 0.5434, Test: 0.5523, Best time: 23.8971
Epoch: 010/100, Runtime 4.641140, Loss 1.531763, forward nfe 5990, backward nfe 0, Train: 0.6857, Val: 0.6743, Test: 0.6660, Best time: 25.1967
Epoch: 011/100, Runtime 4.469914, Loss 1.441511, forward nfe 6558, backward nfe 0, Train: 0.7643, Val: 0.7412, Test: 0.7289, Best time: 45.6331
Epoch: 012/100, Runtime 4.397657, Loss 1.309174, forward nfe 7114, backward nfe 0, Train: 0.8214, Val: 0.7853, Test: 0.7766, Best time: 130.3857
Epoch: 013/100, Runtime 4.157068, Loss 1.180113, forward nfe 7664, backward nfe 0, Train: 0.8214, Val: 0.7853, Test: 0.7766, Best time: 95.0000
Epoch: 014/100, Runtime 4.125991, Loss 1.075549, forward nfe 8208, backward nfe 0, Train: 0.8214, Val: 0.7853, Test: 0.7766, Best time: 95.0000
Epoch: 015/100, Runtime 4.093343, Loss 0.988089, forward nfe 8746, backward nfe 0, Train: 0.8214, Val: 0.8059, Test: 0.7959, Best time: 160.6520
Epoch: 016/100, Runtime 4.049453, Loss 0.858652, forward nfe 9272, backward nfe 0, Train: 0.8429, Val: 0.8235, Test: 0.8223, Best time: 61.6110
Epoch: 017/100, Runtime 3.962228, Loss 0.830875, forward nfe 9780, backward nfe 0, Train: 0.8429, Val: 0.8235, Test: 0.8223, Best time: 95.0000
Epoch: 018/100, Runtime 3.653658, Loss 0.759881, forward nfe 10270, backward nfe 0, Train: 0.8429, Val: 0.8235, Test: 0.8223, Best time: 95.0000
Epoch: 019/100, Runtime 3.710403, Loss 0.720577, forward nfe 10748, backward nfe 0, Train: 0.8714, Val: 0.8257, Test: 0.8132, Best time: 39.7374
Epoch: 020/100, Runtime 3.614959, Loss 0.650204, forward nfe 11214, backward nfe 0, Train: 0.8714, Val: 0.8294, Test: 0.8213, Best time: 93.6164
Epoch: 021/100, Runtime 3.425233, Loss 0.682319, forward nfe 11668, backward nfe 0, Train: 0.8714, Val: 0.8294, Test: 0.8213, Best time: 95.0000
Epoch: 022/100, Runtime 3.430994, Loss 0.574380, forward nfe 12098, backward nfe 0, Train: 0.8714, Val: 0.8294, Test: 0.8213, Best time: 95.0000
Epoch: 023/100, Runtime 3.428021, Loss 0.551275, forward nfe 12534, backward nfe 0, Train: 0.8714, Val: 0.8294, Test: 0.8213, Best time: 95.0000
Epoch: 024/100, Runtime 3.322618, Loss 0.593780, forward nfe 12958, backward nfe 0, Train: 0.8714, Val: 0.8294, Test: 0.8213, Best time: 95.0000
Epoch: 025/100, Runtime 3.185822, Loss 0.545382, forward nfe 13370, backward nfe 0, Train: 0.8714, Val: 0.8294, Test: 0.8213, Best time: 95.0000
Epoch: 026/100, Runtime 3.195583, Loss 0.573010, forward nfe 13770, backward nfe 0, Train: 0.9000, Val: 0.8316, Test: 0.8071, Best time: 96.5538
Epoch: 027/100, Runtime 3.009483, Loss 0.523430, forward nfe 14152, backward nfe 0, Train: 0.8786, Val: 0.8331, Test: 0.7949, Best time: 108.6222
Epoch: 028/100, Runtime 3.071001, Loss 0.548633, forward nfe 14528, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 121.7295
Epoch: 029/100, Runtime 3.004873, Loss 0.539490, forward nfe 14892, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 030/100, Runtime 2.830505, Loss 0.432906, forward nfe 15250, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 031/100, Runtime 2.661396, Loss 0.543564, forward nfe 15608, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 032/100, Runtime 2.621697, Loss 0.427914, forward nfe 15960, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 033/100, Runtime 2.566261, Loss 0.471750, forward nfe 16294, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 034/100, Runtime 2.467557, Loss 0.568898, forward nfe 16622, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 035/100, Runtime 2.434743, Loss 0.434362, forward nfe 16938, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 036/100, Runtime 2.404678, Loss 0.445733, forward nfe 17236, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 037/100, Runtime 2.191085, Loss 0.455448, forward nfe 17546, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 038/100, Runtime 2.395545, Loss 0.357788, forward nfe 17850, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 039/100, Runtime 2.294206, Loss 0.383985, forward nfe 18154, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 040/100, Runtime 2.318359, Loss 0.422769, forward nfe 18446, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 041/100, Runtime 2.336078, Loss 0.383466, forward nfe 18738, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 042/100, Runtime 2.188070, Loss 0.309136, forward nfe 19024, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 043/100, Runtime 2.174624, Loss 0.435739, forward nfe 19304, backward nfe 0, Train: 0.8929, Val: 0.8397, Test: 0.8102, Best time: 95.0000
Epoch: 044/100, Runtime 2.194883, Loss 0.269924, forward nfe 19584, backward nfe 0, Train: 0.9357, Val: 0.8478, Test: 0.8102, Best time: 101.8207
Epoch: 045/100, Runtime 2.161583, Loss 0.281966, forward nfe 19858, backward nfe 0, Train: 0.9357, Val: 0.8478, Test: 0.8102, Best time: 95.0000
