****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
****************** Extended Laplacian Function V.3 ******************
K =  None
Alpha =  1.0
*********************************************************************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 5.584111, Loss 1.948338, forward nfe 176, backward nfe 0, Train: 0.2857, Val: 0.2809, Test: 0.2873, Best time: 0.0945
Epoch: 002/100, Runtime 5.251968, Loss 1.992313, forward nfe 864, backward nfe 0, Train: 0.2857, Val: 0.2809, Test: 0.2873, Best time: 95.0000
Epoch: 003/100, Runtime 5.130217, Loss 1.963318, forward nfe 1540, backward nfe 0, Train: 0.2857, Val: 0.2809, Test: 0.2873, Best time: 95.0000
Epoch: 004/100, Runtime 5.000396, Loss 1.931605, forward nfe 2204, backward nfe 0, Train: 0.2714, Val: 0.2875, Test: 0.2883, Best time: 15.8269
Epoch: 005/100, Runtime 4.904289, Loss 1.895734, forward nfe 2856, backward nfe 0, Train: 0.4214, Val: 0.4890, Test: 0.5127, Best time: 102.9596
Epoch: 006/100, Runtime 4.764941, Loss 1.831219, forward nfe 3490, backward nfe 0, Train: 0.5429, Val: 0.6294, Test: 0.6305, Best time: 12.9762
Epoch: 007/100, Runtime 4.786866, Loss 1.732804, forward nfe 4112, backward nfe 0, Train: 0.6571, Val: 0.6853, Test: 0.7066, Best time: 17.7752
Epoch: 008/100, Runtime 4.830091, Loss 1.584899, forward nfe 4722, backward nfe 0, Train: 0.7643, Val: 0.7419, Test: 0.7228, Best time: 32.1707
Epoch: 009/100, Runtime 4.660513, Loss 1.408719, forward nfe 5314, backward nfe 0, Train: 0.7643, Val: 0.7419, Test: 0.7228, Best time: 95.0000
Epoch: 010/100, Runtime 6.375453, Loss 1.219274, forward nfe 5906, backward nfe 0, Train: 0.8000, Val: 0.7765, Test: 0.7675, Best time: 107.1598
Epoch: 011/100, Runtime 6.432082, Loss 1.034618, forward nfe 6486, backward nfe 0, Train: 0.8143, Val: 0.7926, Test: 0.7827, Best time: 35.6152
Epoch: 012/100, Runtime 6.275913, Loss 0.947031, forward nfe 7054, backward nfe 0, Train: 0.8143, Val: 0.7926, Test: 0.7827, Best time: 95.0000
Epoch: 013/100, Runtime 6.017210, Loss 0.866717, forward nfe 7604, backward nfe 0, Train: 0.8143, Val: 0.7926, Test: 0.7827, Best time: 95.0000
Epoch: 014/100, Runtime 5.343448, Loss 0.839155, forward nfe 8136, backward nfe 0, Train: 0.8143, Val: 0.7926, Test: 0.7827, Best time: 95.0000
