****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 2.311189, Loss 1.947789, forward nfe 68, backward nfe 0, Train: 0.4071, Val: 0.2904, Test: 0.2650, Best time: 0.0945
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 002/100, Runtime 2.159976, Loss 1.775272, forward nfe 294, backward nfe 0, Train: 0.7214, Val: 0.4838, Test: 0.4893, Best time: 3.7883
Epoch: 003/100, Runtime 2.226128, Loss 1.511072, forward nfe 520, backward nfe 0, Train: 0.8857, Val: 0.6721, Test: 0.6944, Best time: 7.6244
Epoch: 004/100, Runtime 2.132994, Loss 1.239611, forward nfe 740, backward nfe 0, Train: 0.9143, Val: 0.7338, Test: 0.7635, Best time: 17.6603
Epoch: 005/100, Runtime 1.964389, Loss 0.964387, forward nfe 948, backward nfe 0, Train: 0.9143, Val: 0.7699, Test: 0.7858, Best time: 7.7847
Epoch: 006/100, Runtime 2.042432, Loss 0.725996, forward nfe 1156, backward nfe 0, Train: 0.9000, Val: 0.7912, Test: 0.7929, Best time: 52.7726
Epoch: 007/100, Runtime 2.059924, Loss 0.539922, forward nfe 1364, backward nfe 0, Train: 0.9429, Val: 0.8015, Test: 0.8071, Best time: 10.9310
Epoch: 008/100, Runtime 2.039777, Loss 0.430364, forward nfe 1566, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 11.3373
Epoch: 009/100, Runtime 1.832130, Loss 0.340874, forward nfe 1762, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 010/100, Runtime 1.859364, Loss 0.278860, forward nfe 1952, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 011/100, Runtime 1.901484, Loss 0.247638, forward nfe 2142, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 012/100, Runtime 1.882633, Loss 0.219074, forward nfe 2332, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 013/100, Runtime 2.159906, Loss 0.264689, forward nfe 2516, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 014/100, Runtime 2.703252, Loss 0.215375, forward nfe 2694, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 015/100, Runtime 2.656982, Loss 0.178875, forward nfe 2860, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 016/100, Runtime 2.778837, Loss 0.292452, forward nfe 3026, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 017/100, Runtime 2.744307, Loss 0.211192, forward nfe 3198, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 018/100, Runtime 2.684687, Loss 0.265995, forward nfe 3370, backward nfe 0, Train: 0.9357, Val: 0.8029, Test: 0.8132, Best time: 25.0000
Epoch: 019/100, Runtime 2.559080, Loss 0.230847, forward nfe 3542, backward nfe 0, Train: 0.9857, Val: 0.8037, Test: 0.8112, Best time: 25.5399
Epoch: 020/100, Runtime 2.528475, Loss 0.237482, forward nfe 3696, backward nfe 0, Train: 0.9857, Val: 0.8037, Test: 0.8112, Best time: 25.0000
Epoch: 021/100, Runtime 2.516137, Loss 0.235041, forward nfe 3850, backward nfe 0, Train: 0.9857, Val: 0.8037, Test: 0.8112, Best time: 25.0000
Epoch: 022/100, Runtime 2.651872, Loss 0.208858, forward nfe 4004, backward nfe 0, Train: 0.9857, Val: 0.8037, Test: 0.8112, Best time: 25.0000
Epoch: 023/100, Runtime 2.641946, Loss 0.188670, forward nfe 4164, backward nfe 0, Train: 0.9857, Val: 0.8037, Test: 0.8112, Best time: 25.0000
Epoch: 024/100, Runtime 2.604795, Loss 0.157732, forward nfe 4324, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 45.6159
Epoch: 025/100, Runtime 2.545338, Loss 0.234441, forward nfe 4484, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 026/100, Runtime 2.587349, Loss 0.148149, forward nfe 4644, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 027/100, Runtime 2.470212, Loss 0.184003, forward nfe 4804, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 028/100, Runtime 2.480861, Loss 0.164100, forward nfe 4958, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 029/100, Runtime 2.467977, Loss 0.189147, forward nfe 5112, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 030/100, Runtime 2.598526, Loss 0.144013, forward nfe 5266, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 031/100, Runtime 2.648098, Loss 0.143346, forward nfe 5426, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 032/100, Runtime 2.537395, Loss 0.171286, forward nfe 5580, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 033/100, Runtime 2.487086, Loss 0.122930, forward nfe 5734, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 034/100, Runtime 2.513650, Loss 0.094765, forward nfe 5888, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 035/100, Runtime 2.500612, Loss 0.073811, forward nfe 6042, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 036/100, Runtime 2.527625, Loss 0.200773, forward nfe 6196, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 037/100, Runtime 2.538636, Loss 0.133609, forward nfe 6350, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
Epoch: 038/100, Runtime 2.461882, Loss 0.077504, forward nfe 6504, backward nfe 0, Train: 0.9714, Val: 0.8051, Test: 0.8142, Best time: 25.0000
