****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 6.054308, Loss 1.947586, forward nfe 104, backward nfe 0, Train: 0.3000, Val: 0.1853, Test: 0.2020, Best time: 0.0927
Epoch: 002/100, Runtime 5.953717, Loss 1.970096, forward nfe 498, backward nfe 0, Train: 0.3000, Val: 0.1853, Test: 0.2020, Best time: 50.0000
Epoch: 003/100, Runtime 5.976871, Loss 1.935647, forward nfe 886, backward nfe 0, Train: 0.3286, Val: 0.2132, Test: 0.2203, Best time: 0.0858
Epoch: 004/100, Runtime 5.759042, Loss 1.871606, forward nfe 1262, backward nfe 0, Train: 0.6071, Val: 0.4647, Test: 0.4579, Best time: 5.2254
Epoch: 005/100, Runtime 5.612276, Loss 1.736218, forward nfe 1632, backward nfe 0, Train: 0.7214, Val: 0.6456, Test: 0.6325, Best time: 5.3792
Epoch: 006/100, Runtime 5.543321, Loss 1.552785, forward nfe 1996, backward nfe 0, Train: 0.7929, Val: 0.7500, Test: 0.7523, Best time: 10.1026
Epoch: 007/100, Runtime 5.405986, Loss 1.343745, forward nfe 2354, backward nfe 0, Train: 0.8500, Val: 0.8022, Test: 0.8102, Best time: 13.6711
Epoch: 008/100, Runtime 5.240790, Loss 1.153565, forward nfe 2700, backward nfe 0, Train: 0.8500, Val: 0.8022, Test: 0.8102, Best time: 50.0000
Epoch: 009/100, Runtime 5.400977, Loss 0.920264, forward nfe 3040, backward nfe 0, Train: 0.8500, Val: 0.8022, Test: 0.8102, Best time: 50.0000
Epoch: 010/100, Runtime 5.129450, Loss 0.751257, forward nfe 3368, backward nfe 0, Train: 0.8500, Val: 0.8022, Test: 0.8102, Best time: 50.0000
Epoch: 011/100, Runtime 4.993869, Loss 0.635653, forward nfe 3696, backward nfe 0, Train: 0.8500, Val: 0.8022, Test: 0.8102, Best time: 50.0000
Epoch: 012/100, Runtime 4.878300, Loss 0.505735, forward nfe 4018, backward nfe 0, Train: 0.8857, Val: 0.8243, Test: 0.8294, Best time: 29.8683
Epoch: 013/100, Runtime 4.816625, Loss 0.472960, forward nfe 4334, backward nfe 0, Train: 0.8857, Val: 0.8243, Test: 0.8294, Best time: 50.0000
Epoch: 014/100, Runtime 4.716002, Loss 0.450240, forward nfe 4638, backward nfe 0, Train: 0.8857, Val: 0.8243, Test: 0.8294, Best time: 50.0000
