/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 1.526964, Loss 1.947406, forward nfe 110, backward nfe 0, Train: 0.3286, Val: 0.3456, Test: 0.3543, Best time: 5.7071
Epoch: 002/100, Runtime 1.360636, Loss 1.975622, forward nfe 522, backward nfe 0, Train: 0.3286, Val: 0.3456, Test: 0.3543, Best time: 55.0000
Epoch: 003/100, Runtime 1.364213, Loss 1.944328, forward nfe 940, backward nfe 0, Train: 0.3286, Val: 0.3456, Test: 0.3543, Best time: 55.0000
Epoch: 004/100, Runtime 1.284210, Loss 1.927013, forward nfe 1346, backward nfe 0, Train: 0.3286, Val: 0.3456, Test: 0.3543, Best time: 55.0000
Epoch: 005/100, Runtime 3.766242, Loss 1.876290, forward nfe 1740, backward nfe 0, Train: 0.4714, Val: 0.4118, Test: 0.4447, Best time: 2.3160
Epoch: 006/100, Runtime 4.282632, Loss 1.780662, forward nfe 2128, backward nfe 0, Train: 0.6071, Val: 0.5750, Test: 0.5949, Best time: 40.6232
Epoch: 007/100, Runtime 4.136672, Loss 1.648761, forward nfe 2504, backward nfe 0, Train: 0.7357, Val: 0.6772, Test: 0.6883, Best time: 10.8423
Epoch: 008/100, Runtime 4.163641, Loss 1.475206, forward nfe 2874, backward nfe 0, Train: 0.7857, Val: 0.7265, Test: 0.7320, Best time: 38.0298
Epoch: 009/100, Runtime 3.980254, Loss 1.297844, forward nfe 3250, backward nfe 0, Train: 0.7857, Val: 0.7537, Test: 0.7533, Best time: 151.4744
Epoch: 010/100, Runtime 3.832411, Loss 1.110461, forward nfe 3608, backward nfe 0, Train: 0.8000, Val: 0.7824, Test: 0.7777, Best time: 166.9500
Epoch: 011/100, Runtime 3.817202, Loss 0.924893, forward nfe 3966, backward nfe 0, Train: 0.8714, Val: 0.8140, Test: 0.8102, Best time: 60.3220
Epoch: 012/100, Runtime 3.788687, Loss 0.771003, forward nfe 4318, backward nfe 0, Train: 0.8714, Val: 0.8140, Test: 0.8102, Best time: 55.0000
Epoch: 013/100, Runtime 3.601960, Loss 0.671436, forward nfe 4658, backward nfe 0, Train: 0.8714, Val: 0.8140, Test: 0.8102, Best time: 55.0000
Epoch: 014/100, Runtime 3.511677, Loss 0.555957, forward nfe 4992, backward nfe 0, Train: 0.8357, Val: 0.8154, Test: 0.7909, Best time: 55.0000
Epoch: 015/100, Runtime 3.289856, Loss 0.527292, forward nfe 5314, backward nfe 0, Train: 0.8357, Val: 0.8154, Test: 0.7909, Best time: 55.0000
Epoch: 016/100, Runtime 3.347553, Loss 0.552086, forward nfe 5612, backward nfe 0, Train: 0.8357, Val: 0.8324, Test: 0.8193, Best time: 55.0000
Epoch: 017/100, Runtime 3.237746, Loss 0.491455, forward nfe 5910, backward nfe 0, Train: 0.8357, Val: 0.8324, Test: 0.8193, Best time: 55.0000
Epoch: 018/100, Runtime 3.274910, Loss 0.509004, forward nfe 6202, backward nfe 0, Train: 0.8357, Val: 0.8324, Test: 0.8193, Best time: 55.0000
Epoch: 019/100, Runtime 3.119741, Loss 0.383418, forward nfe 6494, backward nfe 0, Train: 0.8929, Val: 0.8346, Test: 0.8091, Best time: 118.7880
Epoch: 020/100, Runtime 2.994741, Loss 0.473852, forward nfe 6774, backward nfe 0, Train: 0.8929, Val: 0.8346, Test: 0.8091, Best time: 55.0000
Epoch: 021/100, Runtime 2.891990, Loss 0.443798, forward nfe 7048, backward nfe 0, Train: 0.8929, Val: 0.8346, Test: 0.8091, Best time: 55.0000
Epoch: 022/100, Runtime 2.855483, Loss 0.393999, forward nfe 7298, backward nfe 0, Train: 0.8929, Val: 0.8346, Test: 0.8091, Best time: 55.0000
