/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 4.173931, Loss 1.947332, forward nfe 122, backward nfe 0, Train: 0.3000, Val: 0.2949, Test: 0.3025, Best time: 0.0936
Epoch: 002/100, Runtime 4.292393, Loss 1.880926, forward nfe 618, backward nfe 0, Train: 0.4500, Val: 0.6088, Test: 0.5746, Best time: 2.3262
Epoch: 003/100, Runtime 4.074988, Loss 1.801171, forward nfe 1102, backward nfe 0, Train: 0.6929, Val: 0.7397, Test: 0.7563, Best time: 7.7391
Epoch: 004/100, Runtime 4.004809, Loss 1.636354, forward nfe 1574, backward nfe 0, Train: 0.8643, Val: 0.7610, Test: 0.7777, Best time: 7.8561
Epoch: 005/100, Runtime 3.824169, Loss 1.396081, forward nfe 2040, backward nfe 0, Train: 0.8643, Val: 0.7610, Test: 0.7777, Best time: 65.0000
Epoch: 006/100, Runtime 3.847882, Loss 1.197717, forward nfe 2494, backward nfe 0, Train: 0.8714, Val: 0.7765, Test: 0.7959, Best time: 8.0781
Epoch: 007/100, Runtime 3.733730, Loss 0.941536, forward nfe 2936, backward nfe 0, Train: 0.8500, Val: 0.7772, Test: 0.8041, Best time: 32.0123
Epoch: 008/100, Runtime 3.708006, Loss 0.778024, forward nfe 3372, backward nfe 0, Train: 0.8714, Val: 0.7926, Test: 0.8061, Best time: 15.1562
Epoch: 009/100, Runtime 3.674376, Loss 0.652746, forward nfe 3796, backward nfe 0, Train: 0.8714, Val: 0.7926, Test: 0.8061, Best time: 65.0000
Epoch: 010/100, Runtime 3.570906, Loss 0.621394, forward nfe 4214, backward nfe 0, Train: 0.8714, Val: 0.7926, Test: 0.8061, Best time: 65.0000
Epoch: 011/100, Runtime 3.474311, Loss 0.522474, forward nfe 4626, backward nfe 0, Train: 0.8714, Val: 0.7926, Test: 0.8061, Best time: 65.0000
Epoch: 012/100, Runtime 3.352765, Loss 0.537389, forward nfe 5020, backward nfe 0, Train: 0.8929, Val: 0.8066, Test: 0.8254, Best time: 18.1842
Epoch: 013/100, Runtime 3.246941, Loss 0.512551, forward nfe 5396, backward nfe 0, Train: 0.8929, Val: 0.8074, Test: 0.8264, Best time: 19.1563
Epoch: 014/100, Runtime 3.156165, Loss 0.482386, forward nfe 5766, backward nfe 0, Train: 0.8929, Val: 0.8074, Test: 0.8264, Best time: 65.0000
