****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([80, 1433])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([7, 80])
m2.module.bias
torch.Size([7])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.Q.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([128])
odeblock.multihead_att_layer.V.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([128])
odeblock.multihead_att_layer.K.weight
torch.Size([128, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([128])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
Epoch: 001/100, Runtime 0.688375, Loss 1.948592, forward nfe 182, backward nfe 0, Train: 0.1429, Val: 0.1412, Test: 0.1340, Best time: 100.0000
Epoch: 002/100, Runtime 0.506831, Loss 2.022299, forward nfe 894, backward nfe 0, Train: 0.1429, Val: 0.1412, Test: 0.1340, Best time: 100.0000
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 003/100, Runtime 0.562753, Loss 1.968978, forward nfe 1600, backward nfe 0, Train: 0.1429, Val: 0.1412, Test: 0.1340, Best time: 100.0000
Epoch: 004/100, Runtime 0.608275, Loss 1.948486, forward nfe 2294, backward nfe 0, Train: 0.1429, Val: 0.1412, Test: 0.1340, Best time: 100.0000
Epoch: 005/100, Runtime 0.572899, Loss 1.909065, forward nfe 2976, backward nfe 0, Train: 0.3214, Val: 0.3515, Test: 0.3462, Best time: 5.0885
Epoch: 006/100, Runtime 0.565784, Loss 1.873599, forward nfe 3640, backward nfe 0, Train: 0.4357, Val: 0.5037, Test: 0.4934, Best time: 15.9680
Epoch: 007/100, Runtime 0.557591, Loss 1.824442, forward nfe 4292, backward nfe 0, Train: 0.5071, Val: 0.5235, Test: 0.5330, Best time: 3.7348
Epoch: 008/100, Runtime 0.534580, Loss 1.731516, forward nfe 4932, backward nfe 0, Train: 0.5071, Val: 0.5235, Test: 0.5330, Best time: 100.0000
Epoch: 009/100, Runtime 0.542537, Loss 1.644258, forward nfe 5554, backward nfe 0, Train: 0.7071, Val: 0.6610, Test: 0.6863, Best time: 5.8786
Epoch: 010/100, Runtime 0.650784, Loss 1.488779, forward nfe 6158, backward nfe 0, Train: 0.8071, Val: 0.7419, Test: 0.7817, Best time: 51.1348
Epoch: 011/100, Runtime 0.639655, Loss 1.360481, forward nfe 6744, backward nfe 0, Train: 0.8071, Val: 0.7846, Test: 0.8081, Best time: 70.8905
Epoch: 012/100, Runtime 0.631269, Loss 1.202599, forward nfe 7318, backward nfe 0, Train: 0.8071, Val: 0.7846, Test: 0.8081, Best time: 100.0000
Epoch: 013/100, Runtime 0.617448, Loss 1.068248, forward nfe 7880, backward nfe 0, Train: 0.8071, Val: 0.7846, Test: 0.8081, Best time: 100.0000
Epoch: 014/100, Runtime 0.616276, Loss 0.985593, forward nfe 8442, backward nfe 0, Train: 0.8071, Val: 0.7846, Test: 0.8081, Best time: 100.0000
Epoch: 015/100, Runtime 0.609329, Loss 0.826765, forward nfe 8986, backward nfe 0, Train: 0.8071, Val: 0.7846, Test: 0.8081, Best time: 100.0000
Epoch: 016/100, Runtime 0.576219, Loss 0.753768, forward nfe 9524, backward nfe 0, Train: 0.8000, Val: 0.7949, Test: 0.8081, Best time: 26.5057
Epoch: 017/100, Runtime 0.541353, Loss 0.714359, forward nfe 10044, backward nfe 0, Train: 0.7929, Val: 0.8007, Test: 0.8254, Best time: 37.4503
Epoch: 018/100, Runtime 0.533781, Loss 0.686582, forward nfe 10540, backward nfe 0, Train: 0.8071, Val: 0.8096, Test: 0.8223, Best time: 46.2848
Epoch: 019/100, Runtime 0.524681, Loss 0.652085, forward nfe 11024, backward nfe 0, Train: 0.8214, Val: 0.8221, Test: 0.8294, Best time: 120.8914
Epoch: 020/100, Runtime 0.515479, Loss 0.571301, forward nfe 11502, backward nfe 0, Train: 0.8214, Val: 0.8221, Test: 0.8294, Best time: 100.0000
Epoch: 021/100, Runtime 0.516933, Loss 0.600458, forward nfe 11974, backward nfe 0, Train: 0.8214, Val: 0.8221, Test: 0.8294, Best time: 100.0000
Epoch: 022/100, Runtime 0.501978, Loss 0.522854, forward nfe 12440, backward nfe 0, Train: 0.8214, Val: 0.8221, Test: 0.8294, Best time: 100.0000
Epoch: 023/100, Runtime 0.476411, Loss 0.564611, forward nfe 12882, backward nfe 0, Train: 0.8214, Val: 0.8221, Test: 0.8294, Best time: 100.0000
Epoch: 024/100, Runtime 0.478448, Loss 0.507475, forward nfe 13318, backward nfe 0, Train: 0.8214, Val: 0.8221, Test: 0.8294, Best time: 100.0000
Epoch: 025/100, Runtime 0.458695, Loss 0.527145, forward nfe 13748, backward nfe 0, Train: 0.8214, Val: 0.8221, Test: 0.8294, Best time: 100.0000
Epoch: 026/100, Runtime 0.464906, Loss 0.466205, forward nfe 14154, backward nfe 0, Train: 0.8429, Val: 0.8309, Test: 0.8325, Best time: 113.3387
Epoch: 027/100, Runtime 0.453256, Loss 0.499864, forward nfe 14560, backward nfe 0, Train: 0.8429, Val: 0.8309, Test: 0.8325, Best time: 100.0000
Epoch: 028/100, Runtime 0.447102, Loss 0.459794, forward nfe 14966, backward nfe 0, Train: 0.8429, Val: 0.8309, Test: 0.8325, Best time: 100.0000
