****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([80, 3703])
m1.module.bias
torch.Size([80])
m2.module.weight
torch.Size([6, 80])
m2.module.bias
torch.Size([6])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([80, 80])
odeblock.odefunc.d
torch.Size([80])
odeblock.odefunc.k_d
torch.Size([80])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([80, 80])
odeblock.reg_odefunc.odefunc.d
torch.Size([80])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([80])
odeblock.multihead_att_layer.output_var
torch.Size([1])
odeblock.multihead_att_layer.lengthscale
torch.Size([1])
odeblock.multihead_att_layer.Q.weight
torch.Size([32, 80])
odeblock.multihead_att_layer.Q.bias
torch.Size([32])
odeblock.multihead_att_layer.V.weight
torch.Size([32, 80])
odeblock.multihead_att_layer.V.bias
torch.Size([32])
odeblock.multihead_att_layer.K.weight
torch.Size([32, 80])
odeblock.multihead_att_layer.K.bias
torch.Size([32])
odeblock.multihead_att_layer.Wout.weight
torch.Size([80, 4])
odeblock.multihead_att_layer.Wout.bias
torch.Size([80])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 0.699870, Loss 1.795035, forward nfe 224, backward nfe 0, Train: 0.2833, Val: 0.2920, Test: 0.3129, Best time: 0.0416
Epoch: 002/100, Runtime 0.709048, Loss 1.792590, forward nfe 972, backward nfe 0, Train: 0.4167, Val: 0.4790, Test: 0.4806, Best time: 0.9026
Epoch: 003/100, Runtime 0.746691, Loss 1.785275, forward nfe 1714, backward nfe 0, Train: 0.4167, Val: 0.4790, Test: 0.4806, Best time: 90.0000
Epoch: 004/100, Runtime 0.668779, Loss 1.764412, forward nfe 2468, backward nfe 0, Train: 0.4750, Val: 0.5319, Test: 0.5371, Best time: 2.8171
Epoch: 005/100, Runtime 0.640937, Loss 1.749691, forward nfe 3210, backward nfe 0, Train: 0.5333, Val: 0.5841, Test: 0.6016, Best time: 94.2248
Epoch: 006/100, Runtime 0.625573, Loss 1.726966, forward nfe 3928, backward nfe 0, Train: 0.6333, Val: 0.6283, Test: 0.6371, Best time: 59.9225
Epoch: 007/100, Runtime 0.657770, Loss 1.695414, forward nfe 4652, backward nfe 0, Train: 0.6333, Val: 0.6283, Test: 0.6371, Best time: 90.0000
Epoch: 008/100, Runtime 0.740470, Loss 1.663820, forward nfe 5346, backward nfe 0, Train: 0.6333, Val: 0.6283, Test: 0.6371, Best time: 90.0000
Epoch: 009/100, Runtime 0.783407, Loss 1.694240, forward nfe 6046, backward nfe 0, Train: 0.7417, Val: 0.6399, Test: 0.6500, Best time: 12.1749
Epoch: 010/100, Runtime 0.735253, Loss 1.669044, forward nfe 6734, backward nfe 0, Train: 0.7583, Val: 0.7022, Test: 0.7065, Best time: 14.8925
Epoch: 011/100, Runtime 0.741164, Loss 1.642869, forward nfe 7404, backward nfe 0, Train: 0.7583, Val: 0.7022, Test: 0.7065, Best time: 90.0000
Epoch: 012/100, Runtime 0.743154, Loss 1.628137, forward nfe 8062, backward nfe 0, Train: 0.7583, Val: 0.7022, Test: 0.7065, Best time: 90.0000
Epoch: 013/100, Runtime 0.730511, Loss 1.636714, forward nfe 8720, backward nfe 0, Train: 0.7583, Val: 0.7022, Test: 0.7065, Best time: 90.0000
Epoch: 014/100, Runtime 0.730895, Loss 1.588086, forward nfe 9378, backward nfe 0, Train: 0.7583, Val: 0.7022, Test: 0.7065, Best time: 90.0000
Epoch: 015/100, Runtime 0.707449, Loss 1.533690, forward nfe 10018, backward nfe 0, Train: 0.7583, Val: 0.7022, Test: 0.7065, Best time: 90.0000
