****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.odefunc.k_d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 001/100, Runtime 0.291980, Loss 1.099967, forward nfe 20, backward nfe 8, Train: 0.8333, Val: 0.5687, Test: 0.5530, Best time: 0.2342
Epoch: 002/100, Runtime 0.288042, Loss 1.084438, forward nfe 102, backward nfe 16, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 10.2731
Epoch: 003/100, Runtime 0.258943, Loss 1.067099, forward nfe 178, backward nfe 24, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 004/100, Runtime 0.304414, Loss 1.040046, forward nfe 248, backward nfe 35, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 005/100, Runtime 0.313356, Loss 1.008141, forward nfe 324, backward nfe 46, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 006/100, Runtime 0.321916, Loss 0.973718, forward nfe 400, backward nfe 57, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 007/100, Runtime 0.310029, Loss 0.932233, forward nfe 476, backward nfe 68, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 008/100, Runtime 0.295477, Loss 0.896206, forward nfe 552, backward nfe 78, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 009/100, Runtime 0.316152, Loss 0.823750, forward nfe 628, backward nfe 91, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 010/100, Runtime 0.305493, Loss 0.753013, forward nfe 698, backward nfe 103, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 011/100, Runtime 0.314316, Loss 0.697782, forward nfe 768, backward nfe 116, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 012/100, Runtime 0.329113, Loss 0.632921, forward nfe 838, backward nfe 130, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 013/100, Runtime 0.315332, Loss 0.568727, forward nfe 908, backward nfe 143, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 014/100, Runtime 0.318360, Loss 0.541411, forward nfe 978, backward nfe 156, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 015/100, Runtime 0.318220, Loss 0.469336, forward nfe 1048, backward nfe 169, Train: 0.8500, Val: 0.7250, Test: 0.7186, Best time: 5.0000
Epoch: 016/100, Runtime 0.314086, Loss 0.391313, forward nfe 1118, backward nfe 182, Train: 0.8833, Val: 0.7312, Test: 0.7232, Best time: 28.6728
Epoch: 017/100, Runtime 0.299635, Loss 0.354340, forward nfe 1188, backward nfe 194, Train: 0.9167, Val: 0.7375, Test: 0.7328, Best time: 29.1558
Epoch: 018/100, Runtime 0.320213, Loss 0.311674, forward nfe 1258, backward nfe 208, Train: 0.9167, Val: 0.7472, Test: 0.7406, Best time: 29.6630
