****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.odefunc.k_d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 001/100, Runtime 1.262467, Loss 1.101895, forward nfe 44, backward nfe 83, Train: 0.6500, Val: 0.6375, Test: 0.6168, Best time: 0.2347
Epoch: 002/100, Runtime 0.797965, Loss 1.089769, forward nfe 234, backward nfe 118, Train: 0.8000, Val: 0.7174, Test: 0.6985, Best time: 10.2772
Epoch: 003/100, Runtime 1.107538, Loss 1.074669, forward nfe 424, backward nfe 187, Train: 0.8000, Val: 0.7174, Test: 0.6985, Best time: 15.0000
Epoch: 004/100, Runtime 1.040571, Loss 1.053063, forward nfe 608, backward nfe 248, Train: 0.8000, Val: 0.7174, Test: 0.6985, Best time: 15.0000
Epoch: 005/100, Runtime 0.896015, Loss 1.026358, forward nfe 798, backward nfe 293, Train: 0.8667, Val: 0.7201, Test: 0.6939, Best time: 9.7730
Epoch: 006/100, Runtime 1.238590, Loss 0.986302, forward nfe 982, backward nfe 373, Train: 0.8667, Val: 0.7250, Test: 0.6992, Best time: 9.6442
Epoch: 007/100, Runtime 1.302565, Loss 0.944096, forward nfe 1166, backward nfe 459, Train: 0.9000, Val: 0.7285, Test: 0.7051, Best time: 5.5556
Epoch: 008/100, Runtime 1.100974, Loss 0.889302, forward nfe 1350, backward nfe 526, Train: 0.8833, Val: 0.7326, Test: 0.7078, Best time: 9.5063
Epoch: 009/100, Runtime 1.134166, Loss 0.837299, forward nfe 1528, backward nfe 597, Train: 0.8333, Val: 0.7347, Test: 0.7157, Best time: 15.0000
Epoch: 010/100, Runtime 1.065172, Loss 0.771608, forward nfe 1706, backward nfe 661, Train: 0.8667, Val: 0.7361, Test: 0.7096, Best time: 30.5842
Epoch: 011/100, Runtime 0.929209, Loss 0.691065, forward nfe 1878, backward nfe 712, Train: 0.9000, Val: 0.7396, Test: 0.7166, Best time: 5.5062
Epoch: 012/100, Runtime 0.898117, Loss 0.619179, forward nfe 2044, backward nfe 761, Train: 0.9000, Val: 0.7396, Test: 0.7166, Best time: 15.0000
Epoch: 013/100, Runtime 0.781599, Loss 0.548912, forward nfe 2204, backward nfe 798, Train: 0.9167, Val: 0.7451, Test: 0.7259, Best time: 5.5493
Epoch: 014/100, Runtime 0.734884, Loss 0.489960, forward nfe 2364, backward nfe 829, Train: 0.9333, Val: 0.7500, Test: 0.7334, Best time: 5.5894
Epoch: 015/100, Runtime 0.670784, Loss 0.432114, forward nfe 2524, backward nfe 854, Train: 0.9500, Val: 0.7618, Test: 0.7439, Best time: 5.6443
Epoch: 016/100, Runtime 0.689869, Loss 0.374454, forward nfe 2678, backward nfe 882, Train: 0.9500, Val: 0.7625, Test: 0.7423, Best time: 9.9359
Epoch: 017/100, Runtime 0.696561, Loss 0.333599, forward nfe 2832, backward nfe 911, Train: 0.9500, Val: 0.7625, Test: 0.7423, Best time: 15.0000
Epoch: 018/100, Runtime 0.680863, Loss 0.285913, forward nfe 2980, backward nfe 941, Train: 0.9500, Val: 0.7625, Test: 0.7423, Best time: 15.0000
Epoch: 019/100, Runtime 0.675066, Loss 0.250170, forward nfe 3128, backward nfe 971, Train: 0.9500, Val: 0.7708, Test: 0.7451, Best time: 25.1057
Epoch: 020/100, Runtime 0.654102, Loss 0.227639, forward nfe 3270, backward nfe 999, Train: 0.9500, Val: 0.7819, Test: 0.7636, Best time: 25.7630
Epoch: 021/100, Runtime 0.581715, Loss 0.225208, forward nfe 3412, backward nfe 1019, Train: 0.9500, Val: 0.7924, Test: 0.7732, Best time: 31.7633
Epoch: 022/100, Runtime 0.544500, Loss 0.208658, forward nfe 3554, backward nfe 1036, Train: 0.9500, Val: 0.7986, Test: 0.7768, Best time: 32.5246
Epoch: 023/100, Runtime 0.557889, Loss 0.193531, forward nfe 3690, backward nfe 1054, Train: 0.9500, Val: 0.7986, Test: 0.7768, Best time: 15.0000
Epoch: 024/100, Runtime 0.554595, Loss 0.192147, forward nfe 3826, backward nfe 1071, Train: 0.9500, Val: 0.7986, Test: 0.7768, Best time: 15.0000
Epoch: 025/100, Runtime 0.557467, Loss 0.195088, forward nfe 3968, backward nfe 1088, Train: 0.9500, Val: 0.7986, Test: 0.7768, Best time: 15.0000
Epoch: 026/100, Runtime 0.518825, Loss 0.191509, forward nfe 4110, backward nfe 1104, Train: 0.9500, Val: 0.7986, Test: 0.7768, Best time: 15.0000
Epoch: 027/100, Runtime 0.520640, Loss 0.146948, forward nfe 4240, backward nfe 1121, Train: 0.9833, Val: 0.8118, Test: 0.7929, Best time: 13.2581
Epoch: 028/100, Runtime 0.525985, Loss 0.183614, forward nfe 4370, backward nfe 1138, Train: 0.9833, Val: 0.8118, Test: 0.7929, Best time: 15.0000
Epoch: 029/100, Runtime 0.509041, Loss 0.161466, forward nfe 4500, backward nfe 1153, Train: 0.9833, Val: 0.8118, Test: 0.7929, Best time: 15.0000
Epoch: 030/100, Runtime 0.496341, Loss 0.150505, forward nfe 4630, backward nfe 1168, Train: 0.9833, Val: 0.8118, Test: 0.7929, Best time: 15.0000
Epoch: 031/100, Runtime 0.493545, Loss 0.150122, forward nfe 4754, backward nfe 1184, Train: 0.9833, Val: 0.8118, Test: 0.7929, Best time: 15.0000
Epoch: 032/100, Runtime 0.481204, Loss 0.160735, forward nfe 4878, backward nfe 1198, Train: 0.9833, Val: 0.8118, Test: 0.7929, Best time: 15.0000
Epoch: 033/100, Runtime 0.485476, Loss 0.174192, forward nfe 5002, backward nfe 1213, Train: 0.9833, Val: 0.8118, Test: 0.7929, Best time: 15.0000
