/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.odefunc.k_d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
Epoch: 001/100, Runtime 11.420697, Loss 1.099476, forward nfe 62, backward nfe 1089, Train: 0.6833, Val: 0.5917, Test: 0.6123, Best time: 5.9819
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 002/100, Runtime 9.731439, Loss 1.086006, forward nfe 360, backward nfe 2019, Train: 0.6833, Val: 0.5917, Test: 0.6123, Best time: 25.0000
Epoch: 003/100, Runtime 10.124347, Loss 1.062605, forward nfe 652, backward nfe 2985, Train: 0.8000, Val: 0.6500, Test: 0.6665, Best time: 2.6389
Epoch: 004/100, Runtime 10.522713, Loss 1.039122, forward nfe 944, backward nfe 3976, Train: 0.8000, Val: 0.7097, Test: 0.7281, Best time: 2.5541
Epoch: 005/100, Runtime 9.912822, Loss 0.999021, forward nfe 1230, backward nfe 4915, Train: 0.8500, Val: 0.7257, Test: 0.7438, Best time: 2.4781
Epoch: 006/100, Runtime 9.591233, Loss 0.951003, forward nfe 1516, backward nfe 5811, Train: 0.8500, Val: 0.7292, Test: 0.7449, Best time: 2.4126
Epoch: 007/100, Runtime 8.520519, Loss 0.899669, forward nfe 1796, backward nfe 6596, Train: 0.8500, Val: 0.7375, Test: 0.7505, Best time: 2.3543
Epoch: 008/100, Runtime 7.582988, Loss 0.835693, forward nfe 2064, backward nfe 7293, Train: 0.8500, Val: 0.7424, Test: 0.7569, Best time: 2.3006
Epoch: 009/100, Runtime 6.688113, Loss 0.761349, forward nfe 2332, backward nfe 7910, Train: 0.8500, Val: 0.7486, Test: 0.7638, Best time: 2.2496
Epoch: 010/100, Runtime 4.969849, Loss 0.683353, forward nfe 2594, backward nfe 8347, Train: 0.8667, Val: 0.7500, Test: 0.7657, Best time: 2.2007
Epoch: 011/100, Runtime 4.078330, Loss 0.634460, forward nfe 2856, backward nfe 8695, Train: 0.9000, Val: 0.7562, Test: 0.7714, Best time: 2.1542
Epoch: 012/100, Runtime 4.208607, Loss 0.568377, forward nfe 3112, backward nfe 9056, Train: 0.9000, Val: 0.7667, Test: 0.7803, Best time: 2.1120
Epoch: 013/100, Runtime 5.176420, Loss 0.496738, forward nfe 3368, backward nfe 9513, Train: 0.9167, Val: 0.7729, Test: 0.7852, Best time: 2.0751
Epoch: 014/100, Runtime 5.093193, Loss 0.465460, forward nfe 3618, backward nfe 9965, Train: 0.9167, Val: 0.7729, Test: 0.7852, Best time: 25.0000
Epoch: 015/100, Runtime 4.173629, Loss 0.403730, forward nfe 3868, backward nfe 10326, Train: 0.9167, Val: 0.7764, Test: 0.7889, Best time: 2.0176
Epoch: 016/100, Runtime 2.957299, Loss 0.377133, forward nfe 4106, backward nfe 10566, Train: 0.9167, Val: 0.7785, Test: 0.7917, Best time: 6.2168
Epoch: 017/100, Runtime 3.234287, Loss 0.336054, forward nfe 4344, backward nfe 10834, Train: 0.9167, Val: 0.7785, Test: 0.7917, Best time: 25.0000
Epoch: 018/100, Runtime 3.648605, Loss 0.345659, forward nfe 4582, backward nfe 11145, Train: 0.9333, Val: 0.7840, Test: 0.7968, Best time: 6.4996
Epoch: 019/100, Runtime 3.895903, Loss 0.304716, forward nfe 4802, backward nfe 11482, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 6.6633
Epoch: 020/100, Runtime 3.632145, Loss 0.288195, forward nfe 5022, backward nfe 11795, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 021/100, Runtime 2.902582, Loss 0.318382, forward nfe 5236, backward nfe 12034, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 022/100, Runtime 2.018091, Loss 0.273533, forward nfe 5450, backward nfe 12187, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 023/100, Runtime 1.918895, Loss 0.266104, forward nfe 5664, backward nfe 12329, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 024/100, Runtime 1.698773, Loss 0.282678, forward nfe 5878, backward nfe 12451, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 025/100, Runtime 2.018830, Loss 0.294390, forward nfe 6080, backward nfe 12607, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 026/100, Runtime 1.987530, Loss 0.216596, forward nfe 6282, backward nfe 12759, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 027/100, Runtime 1.830776, Loss 0.280228, forward nfe 6484, backward nfe 12896, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 028/100, Runtime 1.826864, Loss 0.271574, forward nfe 6680, backward nfe 13033, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 029/100, Runtime 1.264199, Loss 0.270376, forward nfe 6876, backward nfe 13115, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 030/100, Runtime 0.976546, Loss 0.223144, forward nfe 7060, backward nfe 13167, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 031/100, Runtime 1.110058, Loss 0.228185, forward nfe 7244, backward nfe 13234, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 032/100, Runtime 1.168370, Loss 0.201338, forward nfe 7416, backward nfe 13310, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 033/100, Runtime 1.119123, Loss 0.218633, forward nfe 7588, backward nfe 13382, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 034/100, Runtime 1.003147, Loss 0.187270, forward nfe 7754, backward nfe 13442, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 035/100, Runtime 0.620159, Loss 0.172455, forward nfe 7920, backward nfe 13461, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
Epoch: 036/100, Runtime 0.968312, Loss 0.161510, forward nfe 8080, backward nfe 13519, Train: 0.9500, Val: 0.7910, Test: 0.8030, Best time: 25.0000
