****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.odefunc.k_d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 16.412305, Loss 1.098701, forward nfe 68, backward nfe 1588, Train: 0.6167, Val: 0.5299, Test: 0.5118, Best time: 40.3739
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 002/100, Runtime 18.352341, Loss 1.081902, forward nfe 432, backward nfe 3338, Train: 0.7333, Val: 0.6188, Test: 0.6100, Best time: 0.2416
Epoch: 003/100, Runtime 18.140172, Loss 1.053153, forward nfe 790, backward nfe 5059, Train: 0.8333, Val: 0.6708, Test: 0.6852, Best time: 5.9394
Epoch: 004/100, Runtime 16.201430, Loss 1.016820, forward nfe 1148, backward nfe 6631, Train: 0.8167, Val: 0.6819, Test: 0.7046, Best time: 37.4147
Epoch: 005/100, Runtime 16.787652, Loss 0.967819, forward nfe 1494, backward nfe 8268, Train: 0.7667, Val: 0.6847, Test: 0.7033, Best time: 98.2929
Epoch: 006/100, Runtime 16.256559, Loss 0.907327, forward nfe 1840, backward nfe 9859, Train: 0.7667, Val: 0.6847, Test: 0.7033, Best time: 30.0000
Epoch: 007/100, Runtime 14.884876, Loss 0.850502, forward nfe 2180, backward nfe 11301, Train: 0.7667, Val: 0.6847, Test: 0.7033, Best time: 30.0000
Epoch: 008/100, Runtime 9.787423, Loss 0.760680, forward nfe 2514, backward nfe 12209, Train: 0.8000, Val: 0.6868, Test: 0.7073, Best time: 71.1924
Epoch: 009/100, Runtime 14.123393, Loss 0.686716, forward nfe 2842, backward nfe 13539, Train: 0.7833, Val: 0.6944, Test: 0.7159, Best time: 30.0000
Epoch: 010/100, Runtime 14.311521, Loss 0.616384, forward nfe 3164, backward nfe 14918, Train: 0.7833, Val: 0.6944, Test: 0.7159, Best time: 30.0000
Epoch: 011/100, Runtime 12.861070, Loss 0.546216, forward nfe 3480, backward nfe 16162, Train: 0.7833, Val: 0.6944, Test: 0.7159, Best time: 30.0000
Epoch: 012/100, Runtime 10.609193, Loss 0.483432, forward nfe 3784, backward nfe 17177, Train: 0.7833, Val: 0.6944, Test: 0.7159, Best time: 30.0000
Epoch: 013/100, Runtime 9.513709, Loss 0.437130, forward nfe 4088, backward nfe 18063, Train: 0.7833, Val: 0.6944, Test: 0.7159, Best time: 30.0000
Epoch: 014/100, Runtime 9.819888, Loss 0.414289, forward nfe 4386, backward nfe 18973, Train: 0.8667, Val: 0.6965, Test: 0.7189, Best time: 23.0926
Epoch: 015/100, Runtime 9.306829, Loss 0.399113, forward nfe 4684, backward nfe 19840, Train: 0.8833, Val: 0.7111, Test: 0.7323, Best time: 39.9603
Epoch: 016/100, Runtime 8.141322, Loss 0.349389, forward nfe 4976, backward nfe 20582, Train: 0.9167, Val: 0.7201, Test: 0.7372, Best time: 35.1869
Epoch: 017/100, Runtime 4.884368, Loss 0.348275, forward nfe 5268, backward nfe 20998, Train: 0.9167, Val: 0.7236, Test: 0.7412, Best time: 57.6072
Epoch: 018/100, Runtime 7.830770, Loss 0.324324, forward nfe 5554, backward nfe 21712, Train: 0.9333, Val: 0.7340, Test: 0.7488, Best time: 25.1299
Epoch: 019/100, Runtime 7.036293, Loss 0.310825, forward nfe 5822, backward nfe 22349, Train: 0.9333, Val: 0.7521, Test: 0.7645, Best time: 31.4615
Epoch: 020/100, Runtime 5.790419, Loss 0.252725, forward nfe 6090, backward nfe 22867, Train: 0.9333, Val: 0.7569, Test: 0.7724, Best time: 55.3823
Epoch: 021/100, Runtime 2.866192, Loss 0.269803, forward nfe 6352, backward nfe 23099, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 69.0879
Epoch: 022/100, Runtime 4.015839, Loss 0.231290, forward nfe 6614, backward nfe 23441, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 023/100, Runtime 3.151451, Loss 0.262893, forward nfe 6870, backward nfe 23695, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 024/100, Runtime 4.424688, Loss 0.206327, forward nfe 7132, backward nfe 24077, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 025/100, Runtime 3.025262, Loss 0.202356, forward nfe 7388, backward nfe 24319, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 026/100, Runtime 2.229721, Loss 0.228580, forward nfe 7644, backward nfe 24484, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 027/100, Runtime 3.652373, Loss 0.191717, forward nfe 7888, backward nfe 24792, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 028/100, Runtime 4.058418, Loss 0.214909, forward nfe 8120, backward nfe 25142, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 029/100, Runtime 3.740468, Loss 0.199428, forward nfe 8352, backward nfe 25463, Train: 0.9333, Val: 0.7583, Test: 0.7744, Best time: 30.0000
Epoch: 030/100, Runtime 3.301113, Loss 0.157327, forward nfe 8578, backward nfe 25737, Train: 0.9833, Val: 0.7618, Test: 0.7797, Best time: 32.0248
Epoch: 031/100, Runtime 2.817023, Loss 0.202996, forward nfe 8804, backward nfe 25968, Train: 1.0000, Val: 0.7681, Test: 0.7769, Best time: 16.8242
Epoch: 032/100, Runtime 1.937134, Loss 0.122771, forward nfe 9018, backward nfe 26111, Train: 1.0000, Val: 0.7681, Test: 0.7769, Best time: 30.0000
Epoch: 033/100, Runtime 1.774611, Loss 0.155021, forward nfe 9232, backward nfe 26237, Train: 1.0000, Val: 0.7681, Test: 0.7769, Best time: 30.0000
Epoch: 034/100, Runtime 2.160569, Loss 0.140247, forward nfe 9446, backward nfe 26403, Train: 1.0000, Val: 0.7681, Test: 0.7769, Best time: 30.0000
Epoch: 035/100, Runtime 2.099641, Loss 0.128546, forward nfe 9654, backward nfe 26564, Train: 1.0000, Val: 0.7681, Test: 0.7769, Best time: 30.0000
Epoch: 036/100, Runtime 2.055118, Loss 0.120988, forward nfe 9862, backward nfe 26721, Train: 1.0000, Val: 0.7681, Test: 0.7769, Best time: 30.0000
