/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.odefunc.k_d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 335.548898, Loss 1.099736, forward nfe 98, backward nfe 37988, Train: 0.5000, Val: 0.4188, Test: 0.4278, Best time: 0.2392
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 002/100, Runtime 50.419867, Loss 1.097911, forward nfe 636, backward nfe 42998, Train: 0.5167, Val: 0.4868, Test: 0.4829, Best time: 0.2478
Epoch: 003/100, Runtime 173.011905, Loss 1.092631, forward nfe 1162, backward nfe 62965, Train: 0.5167, Val: 0.4868, Test: 0.4829, Best time: 45.0000
Epoch: 004/100, Runtime 296.674337, Loss 1.080739, forward nfe 1694, backward nfe 97746, Train: 0.7000, Val: 0.6625, Test: 0.6752, Best time: 0.2379
Epoch: 005/100, Runtime 309.964596, Loss 1.061379, forward nfe 2238, backward nfe 134458, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 0.2313
Epoch: 006/100, Runtime 293.208716, Loss 1.035930, forward nfe 2782, backward nfe 169022, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 007/100, Runtime 459.894856, Loss 1.002478, forward nfe 3320, backward nfe 222681, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 008/100, Runtime 560.335742, Loss 0.958106, forward nfe 3858, backward nfe 288552, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 009/100, Runtime 717.009932, Loss 0.912671, forward nfe 4402, backward nfe 374177, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 010/100, Runtime 689.540199, Loss 0.851751, forward nfe 4946, backward nfe 456152, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 011/100, Runtime 722.008059, Loss 0.794941, forward nfe 5490, backward nfe 541323, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 012/100, Runtime 686.794031, Loss 0.721028, forward nfe 6040, backward nfe 623382, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 013/100, Runtime 661.246541, Loss 0.682088, forward nfe 6584, backward nfe 700959, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 014/100, Runtime 76.555073, Loss 0.597038, forward nfe 7134, backward nfe 709440, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 015/100, Runtime 169.244069, Loss 0.568176, forward nfe 7690, backward nfe 729135, Train: 0.8333, Val: 0.7639, Test: 0.7613, Best time: 45.0000
Epoch: 016/100, Runtime 717.389816, Loss 0.509585, forward nfe 8246, backward nfe 813986, Train: 0.8500, Val: 0.7729, Test: 0.7698, Best time: 45.5650
Epoch: 017/100, Runtime 805.096465, Loss 0.452246, forward nfe 8802, backward nfe 909568, Train: 0.8833, Val: 0.7764, Test: 0.7802, Best time: 26.7762
Epoch: 018/100, Runtime 574.488790, Loss 0.453734, forward nfe 9358, backward nfe 977413, Train: 0.8667, Val: 0.7799, Test: 0.7804, Best time: 42.1151
Epoch: 019/100, Runtime 852.766233, Loss 0.441441, forward nfe 9914, backward nfe 1077908, Train: 0.9000, Val: 0.7806, Test: 0.7841, Best time: 41.8784
Epoch: 020/100, Runtime 564.618156, Loss 0.416673, forward nfe 10470, backward nfe 1144062, Train: 0.9000, Val: 0.7826, Test: 0.7861, Best time: 34.2123
Epoch: 021/100, Runtime 613.321842, Loss 0.411333, forward nfe 11026, backward nfe 1215537, Train: 0.8833, Val: 0.7861, Test: 0.7871, Best time: 49.5039
Epoch: 022/100, Runtime 566.403487, Loss 0.390031, forward nfe 11582, backward nfe 1283493, Train: 0.9000, Val: 0.7917, Test: 0.7879, Best time: 57.2290
Epoch: 023/100, Runtime 383.377542, Loss 0.383760, forward nfe 12138, backward nfe 1328832, Train: 0.9000, Val: 0.7917, Test: 0.7879, Best time: 45.0000
Epoch: 024/100, Runtime 412.379929, Loss 0.397320, forward nfe 12688, backward nfe 1377470, Train: 0.9333, Val: 0.7951, Test: 0.7965, Best time: 49.4775
Epoch: 025/100, Runtime 255.436830, Loss 0.383515, forward nfe 13250, backward nfe 1407397, Train: 0.9333, Val: 0.7951, Test: 0.7965, Best time: 45.0000
Epoch: 026/100, Runtime 961.980141, Loss 0.346338, forward nfe 13806, backward nfe 1522619, Train: 0.9333, Val: 0.7951, Test: 0.7965, Best time: 45.0000
Epoch: 027/100, Runtime 534.800154, Loss 0.368516, forward nfe 14362, backward nfe 1586653, Train: 0.9333, Val: 0.7951, Test: 0.7965, Best time: 45.0000
Epoch: 028/100, Runtime 405.822018, Loss 0.415262, forward nfe 14918, backward nfe 1634959, Train: 0.9333, Val: 0.7951, Test: 0.7965, Best time: 45.0000
Epoch: 029/100, Runtime 543.518526, Loss 0.378238, forward nfe 15474, backward nfe 1700531, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 15.2348
Epoch: 030/100, Runtime 939.828600, Loss 0.375722, forward nfe 16030, backward nfe 1814367, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 45.0000
Epoch: 031/100, Runtime 643.990088, Loss 0.342738, forward nfe 16586, backward nfe 1890567, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 45.0000
Epoch: 032/100, Runtime 376.331818, Loss 0.365922, forward nfe 17136, backward nfe 1934714, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 45.0000
Epoch: 033/100, Runtime 390.216234, Loss 0.369668, forward nfe 17692, backward nfe 1980254, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 45.0000
Epoch: 034/100, Runtime 422.761436, Loss 0.335639, forward nfe 18242, backward nfe 2030787, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 45.0000
Epoch: 035/100, Runtime 707.064652, Loss 0.319298, forward nfe 18792, backward nfe 2116407, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 45.0000
Epoch: 036/100, Runtime 377.508589, Loss 0.369242, forward nfe 19342, backward nfe 2161342, Train: 0.9500, Val: 0.7979, Test: 0.7989, Best time: 45.0000
