****************** Adaptive GRAND laplacian function ******************
****************** Adaptive GRAND laplacian function ******************
GNNEarly
m1.module.weight
torch.Size([128, 500])
m1.module.bias
torch.Size([128])
m2.module.weight
torch.Size([3, 128])
m2.module.bias
torch.Size([3])
odeblock.odefunc.alpha_train
torch.Size([])
odeblock.odefunc.beta_train
torch.Size([])
odeblock.odefunc.alpha_sc
torch.Size([1])
odeblock.odefunc.beta_sc
torch.Size([1])
odeblock.odefunc.w
torch.Size([128, 128])
odeblock.odefunc.d
torch.Size([128])
odeblock.odefunc.k_d
torch.Size([128])
odeblock.reg_odefunc.odefunc.alpha_train
torch.Size([])
odeblock.reg_odefunc.odefunc.beta_train
torch.Size([])
odeblock.reg_odefunc.odefunc.alpha_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.beta_sc
torch.Size([1])
odeblock.reg_odefunc.odefunc.w
torch.Size([128, 128])
odeblock.reg_odefunc.odefunc.d
torch.Size([128])
odeblock.reg_odefunc.odefunc.k_d
torch.Size([128])
odeblock.multihead_att_layer.Q.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.Q.bias
torch.Size([16])
odeblock.multihead_att_layer.V.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.V.bias
torch.Size([16])
odeblock.multihead_att_layer.K.weight
torch.Size([16, 128])
odeblock.multihead_att_layer.K.bias
torch.Size([16])
odeblock.multihead_att_layer.Wout.weight
torch.Size([128, 16])
odeblock.multihead_att_layer.Wout.bias
torch.Size([128])
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: Dopri5Solver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: AdaptiveHeunSolver: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
/home/hieunm60/anaconda3/envs/deepgrand/lib/python3.8/site-packages/torchdiffeq/_impl/misc.py:11: UserWarning: EarlyStopDopri5: Unexpected arguments {'step_size': 1}
  warnings.warn('{}: Unexpected arguments {}'.format(solver.__class__.__name__, unused_kwargs))
Epoch: 001/100, Runtime 306.776370, Loss 1.100311, forward nfe 98, backward nfe 34887, Train: 0.6167, Val: 0.4951, Test: 0.4979, Best time: 0.2367
Epoch: 002/100, Runtime 354.773666, Loss 1.098166, forward nfe 642, backward nfe 76313, Train: 0.6667, Val: 0.6410, Test: 0.6375, Best time: 27.9983
Epoch: 003/100, Runtime 289.566955, Loss 1.090994, forward nfe 1186, backward nfe 109081, Train: 0.6667, Val: 0.6410, Test: 0.6375, Best time: 45.0000
Epoch: 004/100, Runtime 462.295410, Loss 1.076155, forward nfe 1736, backward nfe 162765, Train: 0.6667, Val: 0.6410, Test: 0.6375, Best time: 45.0000
Epoch: 005/100, Runtime 195.966695, Loss 1.055421, forward nfe 2286, backward nfe 185533, Train: 0.7833, Val: 0.7153, Test: 0.7130, Best time: 2.4872
Epoch: 006/100, Runtime 499.281065, Loss 1.025905, forward nfe 2842, backward nfe 244206, Train: 0.7333, Val: 0.7292, Test: 0.7177, Best time: 23.4686
Epoch: 007/100, Runtime 519.498248, Loss 0.983496, forward nfe 3398, backward nfe 305060, Train: 0.7333, Val: 0.7292, Test: 0.7177, Best time: 45.0000
Epoch: 008/100, Runtime 319.698807, Loss 0.941236, forward nfe 3954, backward nfe 343076, Train: 0.7333, Val: 0.7292, Test: 0.7177, Best time: 45.0000
Epoch: 009/100, Runtime 573.919160, Loss 0.892291, forward nfe 4510, backward nfe 410677, Train: 0.7333, Val: 0.7292, Test: 0.7177, Best time: 45.0000
Epoch: 010/100, Runtime 620.173925, Loss 0.834318, forward nfe 5060, backward nfe 484773, Train: 0.7333, Val: 0.7292, Test: 0.7177, Best time: 45.0000
Epoch: 011/100, Runtime 682.563079, Loss 0.766637, forward nfe 5616, backward nfe 565235, Train: 0.7333, Val: 0.7292, Test: 0.7177, Best time: 45.0000
Epoch: 012/100, Runtime 647.776873, Loss 0.720141, forward nfe 6172, backward nfe 641332, Train: 0.7667, Val: 0.7333, Test: 0.7222, Best time: 72.8923
Epoch: 013/100, Runtime 532.814718, Loss 0.665800, forward nfe 6722, backward nfe 703587, Train: 0.7833, Val: 0.7375, Test: 0.7256, Best time: 72.8114
Epoch: 014/100, Runtime 870.999907, Loss 0.621754, forward nfe 7272, backward nfe 806707, Train: 0.7833, Val: 0.7410, Test: 0.7298, Best time: 79.9916
Epoch: 015/100, Runtime 684.488104, Loss 0.573014, forward nfe 7828, backward nfe 887088, Train: 0.7667, Val: 0.7417, Test: 0.7343, Best time: 95.1328
